,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,Luke Bryan - Roller Coaster.mp4,LukeBryanVEVO,"Luke Bryan - Crash My Party
Purchase now on iTunes: http://smarturl.it/3g8995?IQid=VEVO 

Music video by Luke Bryan performing Roller Coaster. (C) 2014 Capitol Records Nashville",28948653,4.84010791779,127866,5324,00:04:23,263,"[Luke, Bryan, Roller, Coaster, Capitol, Records, Nashville, Country]",2014-06-21 11:00:03,0,0,0,92,91,91,131,131,131,139,139,140,35,35,35,120,119,119,166,167,168,131,135,139,131,130,130,128,128,129,country
1,Dierks Bentley - Drunk On A Plane.mp4,DierksBentleyVEVO,"Purchase Dierks Bentley’s latest music: http://umgn.us/dierksbentleypurchase
Stream the latest from Dierks Bentley: http://umgn.us/dierksbentleystream
Sign up to receive email updates from Dierks Bentley: http://umgn.us/dierksbentleyupdates

Website: http://www.dierks.com
Facebook: https://www.facebook.com/dierksbentley
Instagram: https://www.instagram.com/dierksbentley
Twitter: https://twitter.com/dierksbentley

Music video by Dierks Bentley performing Drunk On A Plane. (C) 2014 Capitol Records Nashville",41548786,4.76363897324,140682,8835,00:04:51,291,"[Dierks, Bentley, Drunk, On, Plane, Capitol, Records, Nashville, Country]",2014-05-13 20:16:23,0,4,13,80,79,79,130,129,129,71,71,71,33,33,34,61,61,62,82,83,82,75,74,72,65,67,69,68,67,68,country
2,Thomas Rhett - Get Me Some Of That.mp4,ThomasRhettVEVO,"Music video by Thomas Rhett performing Get Me Some Of That. (C) 2013 The Valory Music Co., LLC",43868160,4.82606887817,128488,5841,00:03:13,193,"[Thomas, Rhett, Get, Me, Some, Of, That, The, Valory, Music, Co., LLC, Country]",2013-12-10 08:00:01,57,57,57,42,43,43,51,51,51,56,54,53,84,79,74,39,39,39,42,42,42,58,58,58,86,87,87,55,55,55,country
3,David Nail - Whatever She's Got.mp4,DavidNailVEVO,"Purchase David Nail’s latest music: http://umgn.us/davidnailpurchase
Stream the latest from David Nail: http://umgn.us/davidnailstream
Sign up to receive email updates from David Nail: http://umgn.us/davidnailupdates

Website: http://www.davidnail.com
Facebook: https://www.facebook.com/DavidNail
Instagram: https://www.instagram.com/davidnail
Twitter: https://twitter.com/davidnail

Music video by David Nail performing Whatever She's Got. (C) 2013 MCA Nashville, a Division of UMG Recordings, Inc.",48648247,4.82663154602,141108,6393,00:04:01,241,"[David, Nail, Whatever, She's, Got, MCA, Nashville, Country]",2013-07-16 07:00:15,0,0,0,103,101,97,182,184,186,87,87,87,93,94,94,112,112,112,165,164,160,54,53,53,157,156,156,155,156,156,country
4,Joe Nichols - Yeah.mp4,JoeNicholsVEVO,"Joe Nichols - Yeah
“Yeah” from Joe Nichol’s Crickets album, available here: http://smarturl.it/crickets-yeah 
Directed by Wes Edwards

Subscribe for new music: http://smarturl.it/joenicholschannel 
Watch more videos: https://www.youtube.com/joenichols 

Follow Joe: 
http://www.joenichols.com 
https://twitter.com/joenichols 
https://www.facebook.com/joenichols 

 (C) 2014 RED BOW RECORDS",11397694,4.81572532654,33255,1606,00:03:52,232,"[Joe Nichols, Red Bow Records, Country, Yeah]",2014-05-27 07:00:01,0,0,0,82,82,83,110,110,122,108,108,108,82,83,83,117,115,113,105,105,105,96,96,97,100,101,101,103,103,103,country
5,Jack Ingram - Barefoot And Crazy.3gp,JackIngramVEVO,"Music video by Jack Ingram performing Barefoot And Crazy. (C) 2009 Big Machine Records, LLC",2524089,4.82300901413,2808,130,00:03:43,223,"[Jack, Ingram, Big, Machine, Records, LLC, Country]",2009-11-24 17:11:26,0,0,0,79,67,62,70,74,75,37,37,37,30,36,36,48,49,50,41,42,40,118,109,110,40,44,53,55,60,44,country
6,Eric Paslay - Friday Night.mp4,EricPaslayVEVO,"Purchase Eric Paslay’s latest music: http://umgn.us/ericpaslaypurchase
Stream the latest from Eric Paslay: http://umgn.us/ericpaslaystream
Sign up to receive email updates from Eric Paslay: http://umgn.us/ericpaslayupdates

Website: http://www.ericpaslay.com
Facebook: https://www.facebook.com/ericpaslay
Instagram: http://instagram.com/ericpaslay
Twitter: https://twitter.com/ericpaslay

Music video by Eric Paslay performing Friday Night. (C) 2013 EMI Records Nashville",11652934,4.83735561371,32158,1363,00:02:58,178,"[Eric, Paslay, Friday, Night, EMI, Records, Nashville, Country]",2013-08-05 07:00:15,63,63,63,58,58,58,49,49,118,58,58,58,58,58,57,74,74,74,72,72,71,54,54,55,35,36,37,146,47,47,country
7,Kip Moore - Beer Money.mp4,KipMooreVEVO,"Download Kip’s debut album Up All Night on iTunes!
http://bit.ly/KipUpAllNightiTunes
Vote for Kip once a day every day to win an American Country Award this year here http://www.theacas.com!",12249945,4.82346487045,35823,1654,00:04:15,255,"[Kip, Moore, Beer, Money, MCA, Nashville, Country]",2012-09-20 07:00:10,6,12,18,126,124,122,62,54,48,163,162,162,120,124,71,122,119,118,167,168,169,100,98,98,63,62,62,49,51,53,country
8,Cole Swindell - Chillin' It (Official Video).mp4,Cole Swindell,"Pre-order Cole Swindell's debut album now at iTunes and get ""Chillin' It"" and ""Hope You Get Lonely Tonight"" instantly - http://smarturl.it/coleswindell

http://www.coleswindell.com/
https://www.facebook.com/coleswindellmusic
https://twitter.com/coleswindell",24239612,4.84034967422,83037,3452,00:03:27,207,"[Cole Swindell, Chillin It, Chillin' It, Country Music, Luke Bryan, Florida Georgia Line]",2013-11-11 05:50:44,0,0,0,65,65,65,82,82,82,76,76,76,65,65,65,60,60,60,104,103,101,62,62,62,101,101,101,58,58,58,country
9,Randy Houser - Runnin' Outta Moonlight.mp4,RandyHouserVEVO,Music video by Randy Houser performing Runnin' Outta Moonlight. (C) 2013 Stoney Creek Records,11405613,4.87130355835,39045,1298,00:03:17,197,"[Randy, Houser, Runnin', Outta, Moonlight, Stoney, Creek, Records, Country, BBRMusicGroup]",2013-05-23 20:25:32,0,0,0,16,16,16,18,18,18,16,16,16,34,35,35,23,23,23,14,14,14,24,24,24,16,15,15,28,28,28,country
