,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,Adam Rickfors feat Marylin - Colors (Official Music Video).mp4,Uniform Beat,"Spotify: http://open.spotify.com/album/1aAMvnORSr8nFjpnQ2d8jG
iTunes: https://itunes.apple.com/se/artist/adam-rickfors/id322973856
Wimp: http://wimpmusic.se/artist/3694613
Google Play: http://bit.ly/U3Uo8G
Beatport: http://www.beatport.com/artist/adam-rickfors/178407

Facebook: https://www.facebook.com/adamrickforsofficial
Website: http://www.adamrickfors.com/
Twitter: https://twitter.com/Adamrickfors


The debutsingle on label Uniform Beat, a division of Playground Music Scandinavia, from Swedish producer/artist Adam Rickfors.

A Young Black Youth Production

Email: 
belzhik@hotmail.com

Director / Producer / Director of Photography - Nima Nabili Rad
Co-Producers - Justin Pollheim, Emma McGavisk, David Tang
Editor / Colourist - Nima Nabili Rad
Focus Puller - David Tang, Michael Tessari
Camera Assistants - Milo Gluth, Tori Wendt 
Styling/Production Design - Nima Nabili Rad, Justin Pollheim
Make-up artist - Anita Rutter
Assistant make-up - Yassmin Abdo
Behind The Scenes photos - Justin Pollheim, Michael Tessari, Tori Wendt, David Tang

Cast - Brinkley Davies, Stella Badenoch, Amy Hancock, Diamond Banks, Renee Lush, Brittany Hayes 

Thanks to - Stephens Family for providing the horse",123666,4.92088985443,793,16,00:03:16,196, ,2013-05-07 08:56:15,240,240,190,230,230,190,260,260,200,250,240,190,230,230,180,250,250,200,260,250,190,30,10,60,240,230,190,240,240,200,edm
1,Dillon Francis - Without You ft. T.E.E.D. [Official Music Video].mp4,Dillon Francis,"ITUNES: http://www.smarturl.it/DFWithoutYou
BEATPORT: http://bit.ly/WithoutYouBP

ALL SHIRTS IN THIS VIDEO WERE AUCTIONED OFF FOR CHARITY: http://www.dillonfrancis.com/auction

PURCHASE THE POSTER FROM THE VIDEO HERE: https://dillonfrancis.merchtable.com/posters/without-you-eyesight-poster

The official music video for ""Without You"" by Dillon Francis feat. Totally Enormous Extinct Dinosaurs, the first single from the upcoming album.

PURCHASE THE VIDEO: https://itunes.apple.com/us/music-video/without-you-feat.-totally/id709766502

Directed by Mister Whitmore & Devon Gibbs
Starring Alexandra Abercrombie
Produced by Vertel Scott
Cinematography by Patrick Jones
Edited by Sean Fazende @ Beast
Production Design by Alexander Aquino
Wardrobe by Che Hurley
Production Assistance by Marco Santoyo Peralta

OUT NOW! // MONEY SUCKS, FRIENDS RULE 

GET THE ALBUM
ITUNES: http://smarturl.it/FriendsRuleAlbum
AMAZON: http://smarturl.it/FriendRuleAmazon
STREAM: http://smarturl.it/DFspotifyplaylist
DELUXE ALBUM: http://www.idgafos.com

FOLLOW DILLON:
FACEBOOK: http://www.facebook.com/DillonFrancis...
TWITTER: http://twitter.com/dillonfrancis
INSTAGRAM: http://instagram.com/dillonfrancis
SOUNDCLOUD: http://soundcloud.com/dillonfrancis
WEBSITE: http://www.dillonfrancis.com

BUY DILLON FRANCIS GEAR - STORE: http://dillonfrancis.merchtable.com/",2241469,4.92727994919,19658,364,00:04:16,256,"[Dillon Francis (Person), dillonfrancis, Totally Enormous Extinct Dinosaurs (Musical Artist), Electronic Music (Musical Genre), Dance Music (Musical Genre), INDMUSIC, Dillon Francis music, dylan francis, Dillon francis youtube, dillon francis idgafos, francis dillon, dillon frances, moomba, moombah, moombahton, electro house, electro, house music, dance music, electronic music, electrohouse]",2013-09-17 14:57:42,40,20,10,50,20,10,30,20,10,30,10,10,50,30,20,20,10,0,60,30,20,80,50,30,90,50,30,70,40,20,edm
2,CLMD vs. Kish feat. Fröder - The Stockholm Syndrome.mp4,CLMDVEVO,"Music video by CLMD vs. Kish feat. Fröder performing the The Stockholm Syndrome. 

Columbia/Sony under exclusive licence from UpNorth Recordings.

https://www.facebook.com/CLMDMusic",927356,4.89640378952,5228,139,00:03:40,220,"[CLMD, The, Stockholm, Syndrome, AbsoluteMarketing, Dance]",2013-05-08 00:00:11,20,20,40,10,10,30,20,10,30,30,30,50,30,20,40,20,20,50,40,40,60,50,40,30,40,30,20,20,20,40,edm
3,Gareth Emery feat. Christina Novelli - Concrete Angel [Official Music Video].mp4,Gareth Emery,"Check out all Gareth Emery singles and remixes on Spotify: http://bit.ly/GE-MUSIC

'Concrete Angel': the new vocal single by Gareth Emery.
Available now: http://www.beatport.com/track/concret...

Get a free Gareth Emery bootleg at: http://on.fb.me/GarethEmeryFreeBootleg

http://www.facebook.com/garethemery
http://www.twitter.com/garethemery
http://www.garethemery.com/home/

Director // Ross Ching // http://rossching.com
Production // A Common Thread // http://acommonthread.tv",29912849,4.92172431946,160475,3203,00:03:59,239,"[gareth, emery, trance, house, techno, edm, edc, electro, christina, novelli, garuda, dance, official, music, video, electronic, remix, electronica, rave]",2012-01-09 23:08:44,70,60,50,60,50,40,80,70,60,50,40,30,90,80,70,130,100,80,100,90,80,80,70,50,110,90,70,120,110,100,edm
4,Zedd - Stay The Night ft. Hayley Williams.mp4,ZEDDVEVO,"New album “True Colors” out 5/19.
True Colors is available now: http://smarturl.it/ZeddTrueColors 
Get tickets to Zedd's True Colors Tour at http://Zedd.net.

iTunes: http://smarturl.it/ClarityDeluxe 
Target CD: Zedd “Clarity Deluxe” 
http://smarturl.it/ClarityDeluxeTGT 

Sign up for updates: http://smarturl.it/Zedd.News

Directed by Daniel Cloud Campos 
Music video by Zedd performing Stay The Night ft. Hayley Williams of Paramore. © 2013 Interscope",154241895,4.90791082382,906395,21359,00:03:37,217,"[Zedd, new song, new video, Hayley Williams, Paramore, Stay The Night, VEVO, premiere]",2013-09-23 10:00:29,40,20,30,50,30,40,60,30,40,40,20,40,50,30,30,50,20,30,30,20,40,60,40,50,70,40,50,60,40,40,edm
5,Avicii - You Make Me (Official).mp4,AviciiOfficialVEVO,"Download Avicii's album ""True"" now on:
iTunes: http://smarturl.it/itrue
Amazon: http://smarturl.it/atrue
Google Play: http://goo.gl/Xv1XC1

Music video by Avicii performing You Make Me (Official). (C) 2013 Avicii Music AB, under exclusive license to Universal Music AB",84397219,4.83718538284,376802,15988,00:03:51,231,"[Avicii, You, Make, Me, (Official), Universal, Music, Electronic/Dance]",2013-09-16 13:00:35,100,90,70,110,100,80,90,80,60,110,110,90,100,100,80,140,160,170,120,110,90,130,150,160,150,170,180,170,190,200,edm
6,Avicii - Levels.mp4,AviciiOfficialVEVO,"Buy Avicii Levels EP- http://www.smarturl.it/AviciiLevelsEP

iTunes Australia http://itunes.apple.com/au/album/levels/id475906408?i=475906909
iTunes UK http://itunes.apple.com/gb/album/levels-ep/id476026646
iTunes US http://itunes.apple.com/us/album/levels-single/id480054437

Music video by Avicii performing Levels. (C) 2011 Veratone AG, Under exclusive license to Universal Music AB",248822758,4.90517854691,1181545,28689,00:03:18,198,"[Avicii, Levels, Universal, Music, Dance, EDM, VMAs, MTV, VMA, Video, Awards]",2011-11-29 20:00:00,130,120,110,100,90,80,110,100,90,120,110,100,150,140,130,140,130,120,90,80,70,160,150,140,80,70,60,90,70,70,edm
7,Nicky Romero - Toulouse.mp4,DJ Stant & Kameleon,"Directed by Timo Pierre Rositzki, Cinematography by Nicolas Chibac.
WATCH A SIMILAR SINGLE ➤➤➤ https://youtu.be/YzPQxXMQZCM
SUBSCRIBE, BRO! ➤➤➤ http://bit.ly/DJkameleon ◄◄◄

--------------------------------------------------------------
--------------------------------------------------------------
➤ Regarding cooperation - mixsmedia@gmail.com
➤ Concerning advertising and brands - mixsmediatv@gmail.com

© Copyright 2012-2016 by Spinnin' Records under exclusive license to Mixs Media™ Label Ltd.
Official content distributor: MixsRecords Music LLC, a division of company.
All rights reserved.",332554847,4.84117937088,1568244,64842,00:04:20,260,"[Егор, Клюев, Интернет3]",2012-05-09 20:08:30,10,0,20,20,10,30,20,0,10,10,0,20,20,0,20,30,10,20,0,0,20,10,0,30,20,10,40,30,20,40,edm
8,Martin Garrix - Animals (Official Video).mp4,Spinnin' Records,"Like this track? Add it to your favourite Spotify/Apple Music playlist HERE: https://martingarrix.lnk.to/animals!YT

Martin Garrix and Spinnin' Records proudly present the official video for Animals. Subscribe to Spinnin TV NOW : http://bit.ly/SPINNINTV

Join Martin Garrix: 
http://facebook.com/martingarrix
http://twitter.com/martingarrix 

Directed by: http://markloonen.nl
Produced by: http://visionairies.nl",913864813,4.8479719162,3925579,155094,00:03:12,192,"[animals, official video, Electro House (Musical Genre), Spinnin' Records (Record Label), Martin Garrix]",2013-06-17 14:30:09,150,140,130,40,20,20,140,130,120,100,80,70,40,30,20,50,30,30,80,60,50,190,200,210,80,70,60,30,20,10,edm
9,Calvin Harris - I Need Your Love ft. Ellie Goulding.mp4,CalvinHarrisVEVO,"Calvin Harris' official music video for 'I Need Your Love' ft. Ellie Goulding. Click to listen to Calvin Harris on Spotify: http://smarturl.it/CalvinHSpotify?IQid=CalvinHINYL

As featured on 18 Months. Click to buy the track or album via iTunes: http://smarturl.it/CalvinHarris18M?IQid=CalvinHINYL
Google Play: http://smarturl.it/CalvinHINYLGPlay?IQid=CalvinHINYL
Amazon: http://smarturl.it/CalvinH18MAmazon?IQid=CalvinHINYL
Stream more music from Calvin Harris here: http://smarturl.it/CalvinHarrisStream?IQid=CalvinHINYL

More from Calvin Harris
Summer: https://youtu.be/ebXbLfLACGM
Pray to God: https://youtu.be/8FOBxcluXdk
Sweet Nothing: https://youtu.be/17ozSeGw-fY

More great 00's videos here: http://smarturl.it/Ultimate00?IQid=CalvinHINYL

Follow Calvin Harris
Website: http://www.calvinharris.co.uk/gb/home
Facebook: https://www.facebook.com/calvinharris
Twitter: https://twitter.com/CalvinHarris
Instagram: https://instagram.com/calvinharris/

Subscribe to Calvin Harris on YouTube: http://smarturl.it/CalvinHSub?IQid=CalvinHINYL

---------

Lyrics:
I need your love
I need your time
When everything's wrong
You make it right
I feel so high
I come alive
I need to be free with you tonight
I need your love

I need your love

I take a deep breath every time I pass your door
I know you're there but I can't see you anymore
And that's the reason you're in the dark
I've been a stranger ever since we fell apart
And I feel so helpless here
Watch my eyes are filled with fear
Tellme do you feel the same
Hold me in your arms again",593766900,4.86732816696,1474532,50585,00:03:47,227,"[Calvin Harris lyrics, Summer, official, Calvin Harris I Need Your Love Official, Outside, cover, Calvin Harris I Need Your Love, download, Calvin Harris I Need Your Love Lyrics, music, CalvinHarrisvevo, audio, lyrics, open wide, music video, live, vevo, Sony, Under Control, feel so close, Calvin Harris, album, acoustic, sweet nothing, official video, single, Calvin Harris feat. Ellie Goulding, Columbia, instrumental, I Need Your Love, Calvin]",2013-04-14 23:00:13,50,60,70,60,70,80,50,80,90,100,110,120,90,100,110,70,80,90,120,130,140,130,140,150,140,150,160,20,30,40,edm
