,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,The Chainsmokers - Closer ft. Halsey.mp4,ChainsmokersVEVO,"Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz 

""Closer"" ft. Halsey
iTunes: http://smarturl.it/CloseriT
Spotify: http://smarturl.it/CloserStream
Apple Music: http://smarturl.it/CloserAM
Amazon: http://smarturl.it/CloserAmz
Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz 

""Closer"" ft. Halsey
iTunes: http://smarturl.it/CloseriT
Spotify: http://smarturl.it/CloserStream
Apple Music: http://smarturl.it/CloserAM
Amazon: http://smarturl.it/CloserAmz

Directed by: Dano Cerny

Follow The Chainsmokers:
http://www.youtube.com/thechainsmokers
http://www.twitter.com/thechainsmokers
http://www.facebook.com/thechainsmokers
http://www.instagram.com/thechainsmokers
http://www.soundcloud.com/thechainsmokers

Follow Halsey:
Twitter: http://twitter.com/halsey
Facebook: https://www.facebook.com/HalseyMusic
Instagram: http://instagram.com/iamhalsey
Spotify: http://smarturl.it/HalseySpotify
Newsletter: http://www.iamhalsey.com/mailinglist
Purchase Music: http://www.iamhalsey.com/badlandsbox
Directed by: Dano Cerny

Follow The Chainsmokers:
http://www.youtube.com/thechainsmokers
http://www.twitter.com/thechainsmokers
http://www.facebook.com/thechainsmokers
http://www.instagram.com/thechainsmokers
http://www.soundcloud.com/thechainsmokers

Follow Halsey:
Twitter: http://twitter.com/halsey
Facebook: https://www.facebook.com/HalseyMusic
Instagram: http://instagram.com/iamhalsey
Spotify: http://smarturl.it/HalseySpotify
Newsletter: http://www.iamhalsey.com/mailinglist
Purchase Music: http://www.iamhalsey.com/badlandsbox",71113118,4.86703062057,911665,31348,00:04:07,247,"[Closer, Disruptor Records/Columbia, The Chainsmokers feat. Halsey, Dance]",2016-10-24 14:00:01,0,0,0,68,67,66,53,52,52,41,45,49,64,64,66,49,49,49,34,34,35,24,24,24,26,26,26,16,16,13,pop
1,The Weeknd - Starboy (official) ft. Daft Punk.mp4,TheWeekndVEVO,"Starboy ft. Daft Punk (Official Video)
Taken from the new album Starboy
http://theweeknd.co/StarboyYD 
  
Connect with The Weeknd:
http://www.facebook.com/theweeknd
http://instagram.com/theweeknd
https://soundcloud.com/theweeknd
https://twitter.com/TheWeeknd
https://www.theweeknd.com
 
Directed by Grant Singer
Produced by Julien LeMaitre & Nina Soriano
For Anonymous Content 
 
Music video by The Weeknd performing Starboy ft. Daft Punk. © 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc.

http://vevo.ly/dLp4gE",282012560,4.79563570023,1913640,103034,00:04:33,273,"[The, Weeknd, Starboy, Universal, Republic, Records, The Weeknd, The Weeknd new music, Beauty Behind The Madness, XO, Daft Punk]",2016-09-28 16:00:01,8,8,7,21,21,21,29,30,30,24,24,23,67,60,25,26,25,25,34,34,84,16,16,16,19,19,19,7,7,7,pop
2,DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video].mp4,Proximity,"SPOTIFY! - http://spoti.fi/Proximity

A song that I have been excited for, for a LONG time. I have the pleasure of providing the official lyric video for DJ Snake & Justin Bieber's track ""Let Me Love You"". Personally I don't know if I like Cold Water or Let Me Love You more but they are both incredible. Hope you enjoy. :)

Stream ""Encore"" on Spotify: http://smarturl.it/EncoreDJSnake.sp

•DJ Snake:
https://soundcloud.com/djsnake
http://www.facebook.com/djsnake.fr
http://www.twitter.com/djsnake

•Justin Bieber:
https://www.instagram.com/justinbieber/
https://twitter.com/justinbieber
http://www.justinbiebermusic.com/

Lyric video by: http://Incept.gq 

If you'd like to submit a picture, you can send it here:
http://pandoric.com/contact

Use the new template if you would like to submit a picture! :)
http://goo.gl/yoEGNg",284841670,4.88723468781,1269051,36814,00:03:26,206,"[Proximity, DJ Snake, Justin Bieber, Let Me Love You, Lyric Video, DJ Snake Let Me Love You, Justin Bieber Let Me Love You, Official, Dj Snake Justin Bieber, DJ Snake Justin Bieber Let Me Love You, LMLY, DJ Snake LMLY, Justin Bieber LMLY, Never Let You Go, Don't You Give Up, Nah Nah Nah, Let Me Love You Lyric Video, LMLY Lyric Video, DJ Snake lyric video, justin bieber lyric video, Encore, DJ Snake Encore, Justin Bieber lyric video, Justin bieber let me love you lyric video, EDM]",2016-08-05 15:30:10,0,4,7,26,26,25,13,13,13,20,20,31,8,8,8,22,29,32,7,7,7,8,8,8,17,17,16,19,20,18,pop
3,Ariana Grande - Side To Side ft. Nicki Minaj.mp4,ArianaGrandeVevo,"Side To Side ft. Nicki Minaj (Official Video)
Taken from the new album Dangerous Woman
Download Now! http://republicrec.co/AriDangerousWoman
 
Listen on Spotify: http://republicrec.co/AriDangerousWomanSP
Listen on Apple Music: http://republicrec.co/AriDangerousWomanAM
 
Connect with Ariana:
https://twitter.com/ArianaGrande
http://instagram.com/arianagrande
https://www.facebook.com/arianagrande
http://www.arianagrande.com
 
Directed by Hannah Lux Davis
Produced by Brandon Bonfiglio
For London Alley 
 
Music video by Ariana Grande performing Side To Side ft. Nicki Minaj. © 2016 Republic Records, a division of UMG Recordings, Inc.

http://vevo.ly/Tm14jw",438179822,4.78489542007,2925620,166270,00:03:58,238,"[Ariana Grande, Ari, Ariana Grande Side To Side, Ariana and Nicki Song, Side To Side, MTV VMAs, VMAs, MTV VMAs Side To Side, ариана гранде, Ariana Grande Side To Side MTV, Ariana Grande Side To Side MTV VMAs, Ariana Grande Jimmy Fallon, ariana grande nicki minaj, ariana grande nicki minaj side to side, nicki minaj side to side, ariana grande into you, ariana grande impressions, ariana grande side to side lyrics, ariana grande lyrics, bang bang]",2016-08-30 03:00:00,72,72,72,86,86,86,75,75,75,71,71,71,127,127,128,76,75,75,63,63,63,81,82,82,97,100,104,78,78,79,pop
4,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna.mp4,CalvinHarrisVEVO,"Calvin Harris - This Is What You Came For feat. Rihanna
Get it now: http://smarturl.it/DownloadCH?IQid=YT
Listen: http://smarturl.it/StreamCH?IQid=YT

Subscribe to Calvin's channel: http://smarturl.it/CHVevo?IQid=YT

--------------

Follow Calvinonline:
http://calvinharris.com
Snapchat: CalvinHarris
Instagram: http://smarturl.it/CHInstagram?IQid=YT
Facebook: http://smarturl.it/CHFacebook?IQid=YT
Twitter: http://smarturl.it/CHTwitter?IQid=YT
Spotify: http://smarturl.it/CHSptfy?IQid=YT
Google+: http://smarturl.it/CHGPlus?IQid=YT

--------------

Follow Rihanna online:
Instagram : http://instagram.com/badgalriri 
Twitter : https://twitter.com/Rihanna 
Facebook : https://facebook.com/Rihanna
YouTube : http://youtube.com/user/Rihanna
Website : http://Rihannanow.com

--------------

Download
iTunes: http://smarturl.it/CH.iTunes?IQid=YT
Google Play: http://smarturl.it/CHGoogleP?IQid=YT
Amazon MP3: http://smarturl.it/CHAmzMP3?IQid=YT
7Digital: http://smarturl.it/CH7dig?IQid=YT",997600101,4.78721904755,4011004,225354,00:03:59,239,"[Calvin Harris feat. Rihanna, Columbia, Dance, This Is What You Came For]",2016-06-17 04:01:00,0,0,0,233,233,233,178,181,179,128,157,198,165,168,166,128,116,120,117,117,120,172,175,147,38,41,30,52,35,186,pop
5,Andra - Why (Official Video).mp4,Andra,"Subscribe Andra: https://goo.gl/IMGbE8
https://www.facebook.com/AndraMusic
https://instagram.com/andraofficial

Website Andra: http://www.andramusic.ro
Twitter: http://twitter.com/AndraMusic
Contact Andra: office@andramusic.ro

Music & Lyrics: Tudor Ionescu, Daniel Denes, Cristian Marcel Treanta, Felix Dragos Popescu, Bogdan Dumitru Pauna, George Papagheorghe

Produced by Fly Records
https://goo.gl/NwICdQ

(C) & (P) Andra Records 2016
All rights reserved. Unauthorized reproduction is a violation of applicable laws.
In order to avoid copyright infringement, please, do not upload this video on your channel!

==============================

Lyrics:

If you don`t love me just say
I`ll never stay in your way
Nobody hurt me this way
Give me a reason to stay

I wonder, wonder, wonder why
I wonder why x2

Why, why do you hurt me?
Why, why does it hurt?

Can we just stop with the blame
We``re turning love into hate
I know we won`t be the same
We`ve got no reason to wait

I wonder, wonder, wonder why
I wonder why

Why, why do you hurt me?
Why, why does it hurt?

==============================

New Songs:

Fly Project feat. Andra - Butterfly (Official Video) (by FLY RECORDS):
https://youtu.be/MKZ6_ROdInc

Andra - Floare De Nu-Ma-Uita (feat. Dorian) (Official Video):
https://goo.gl/2PXcgp",59049025,4.68859434128,125616,10605,00:02:58,178,"[andra, andra why, andra maruta, andra why lyrics, official video, andra why official video, andra love can save it all, andra without you, david bisbal new song, andra new song, new songs]",2016-08-11 15:01:36,0,1,4,174,176,178,94,94,94,195,195,195,112,111,111,87,88,89,111,111,111,102,102,102,114,114,114,99,99,99,pop
6,The Chainsmokers - Don't Let Me Down ft. Daya.mp4,ChainsmokersVEVO,"Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz 

The Chainsmokers- Don't Let Me Down (Official Video) ft. Daya
Itunes: http://smarturl.it/DLMDItunes
Spotify: http://smarturl.it/DLMDStream
Beatport: http://smarturl.it/TCSBeatport 
Download The Bouquet EP: http://smarturl.it/Bouquet 

Director: Marcus Kuhne
Producer: Thom Fennessey & Eric Ro
Exec Producer: Thom Fennessey
Production Company: Collaboration Factory

Subscribe to our youtube channel for more videos, songs, and remixes: 

http://www.youtube.com/thechainsmokers 
http://www.twitter.com/thechainsmokers 
http://www.facebook.com/thechainsmokers 
http://www.instagram.com/thechainsmokers 
http://www.soundcloud.com/thechainsmokers",470837710,4.8865070343,2496048,72889,00:03:38,218,"[Disruptor Records/Columbia, Don't Let Me Down, Dance, The Chainsmokers feat. Daya]",2016-04-29 07:30:01,0,0,0,59,58,59,62,62,62,59,59,59,71,72,72,59,57,56,53,53,53,65,65,65,65,64,64,62,62,63,pop
7,Maroon 5 - Don't Wanna Know.mp4,Maroon5VEVO,"Buy “Don't Wanna Know"" ft. Kendrick Lamar now.
iTunes:  http://smarturl.it/DontWannaKnowM5
Apple Music: http://smarturl.it/DontWannaKnow.ap
Google Play: http://smarturl.it/DontWannaKnow.gp
Amazon:  http://smarturl.it/DontWannaKnow.amz
Spotify: http://smarturl.it/DontWannaKnow.sp

For more, visit:
https://www.facebook.com/maroon5
https://twitter.com/maroon5
https://www.instagram.com/maroon5
https://www.instagram.com/maroon5/

Sign up for updates:http://smarturl.it/Maroon5.News

Director: David Dobkin

Music video by Maroon 5 performing Don't Wanna Know. (C) 2016 222 Records/Interscope Records

http://vevo.ly/QtdnAt",76135741,4.86350154877,920571,32524,00:06:19,379,"[Maroon, Don't, Wanna, Know, Interscope, Records, Pop]",2016-10-14 14:07:50,77,77,77,129,129,129,71,72,73,80,79,78,97,97,97,73,72,71,77,77,76,83,83,83,38,38,38,63,63,62,pop
8,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video].mp4,Charlie Puth,"Get ""We Don't Talk Anymore"": http://smarturl.it/CharlieWDTA

Get Charlie's debut album Nine Track Mind, available now!
Download: http://smarturl.it/NineTrackMind
Stream: http://smarturl.it/StreamNTM

Exclusive Nine Track Mind Bundles Available Here: http://smarturl.it/NTMBundlesYT

We Don’t Talk Tour 2016
For tickets & more info: http://charlieputh.com/tour

Follow Charlie:
http://www.charlieputh.com 
http://www.twitter.com/charlieputh 
http://www.facebook.com/charlieputh 
http://www.instagram.com/charlieputh
Snapchat: @notcharlieputh

Director: Phil Pinto",444488683,4.88481760025,2626092,77862,00:03:51,231,"[Charlie Puth, Selena Gomez, We Don't Talk Anymore, Official Video, New York City, Atlantic Records, Nine Track Mind]",2016-08-02 20:00:26,90,90,90,99,100,99,72,73,74,77,76,75,64,64,64,49,49,50,38,38,38,41,41,41,44,44,44,99,99,99,pop
9,Justin Bieber - Sorry (PURPOSE _ The Movement).mp4,JustinBieberVEVO,"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Produced by: BLOOD and Skrillex

Director: Parris Goebel
Producer: Justin Bieber, Scott ""Scooter"" Braun and Parris Goebel
Animator: John Hwang 
Production Company: SB Films and Taktix Films
Choreographer: Parris Goebel
Dancers: The Ladies of ReQuest & The Royal Family Dance Crews from The Palace Dance Studio, NZ


Follow Justin:
http://facebook.com/justinbieber
http://twitter.com/justinbieber
http://instagram.com/justinbieber
http://shots.com/justinbieber 
http://fahlo.me/justinbieber
And sign up to Justin’s newsletter: http://justinbiebermusic.com
Snapchat: rickthesizzler
 
Lyrics: Sorry – Justin Bieber
 
You gotta go and get 
Angry at all of my honesty
You know I try but I don't do too well with apologies 
I hope I don't run out of Time could someone call the referee
Cause I just need one more shot at forgiveness 
 
I know you know that I 
made those mistakes maybe once or twice 
And by once or twice I Mean 
Maybe a couple a hundred times 
So let me oh let me 
Redeem oh redeem oh my self tonight 
Cause I just need one more shot at second chances 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
I’m sorry yeah
Sorry yeah
Sorry
Yeah I know that I let you down
Is it too late to say I’m sorry now
 
I'll take every single piece of the blame 
If you want me too 
But you know that there is no innocent one in this game for two
I'll go I'll go and then 
You go you go out and spill the truth 
Can we both say the words and forget this 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I'm not just trying to get you back on me
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now  

http://vevo.ly/Uf3y0K

©: 2015 Def Jam Recordings, a division of UMG Recordings, Inc.",2027495360,4.56112670898,7250037,893495,00:03:25,205,"[Justin, Bieber, Sorry, (Dance, Video), Def, Jam, Pop]",2015-10-22 20:00:02,0,0,0,132,132,131,42,42,42,45,45,46,41,40,40,51,51,51,95,38,38,48,49,48,62,62,62,56,56,55,pop
