,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,Fetty Wap - Flip Phone _ Visual by @mastemindrichy.mp4,harlem fetty,"Official video to Fetty Wap's ""Flip Phone""

Listen to ""zoovier"" mixtape: https://soundcloud.com/harlem_fetty/s...

Follow @fettywap1738",318711,4.92093372345,14530,293,00:02:39,159,"[Fetty wap, zoogang, flip phone, rgf, amg, music video]",2016-11-26 15:38:20,65,65,65,51,50,49,22,22,22,41,40,39,59,58,57,69,70,70,86,82,77,89,89,89,61,61,61,61,61,61,rap
1,Meek Mill - On The Regular [Official Music Video].mp4,MeekMillTV,"Meek Mill - On The Regular

DC4 Available Now
iTunes - http://smarturl.it/DownloadDC4
Spotify - http://smarturl.it/StreamDC4
Google Play - http://smarturl.it/DC4GP
Apple Music - http://smarturl.it/DC4Appl

Follow Meek
Instagram - https://www.instagram.com/meekmill
Facebook - https://www.facebook.com/MeekMill
Twitter - https://twitter.com/meekmill",1441038,4.83810949326,26719,1127,00:03:28,208,"[Meek Mill, On The Regular, Music Video, DC4]",2016-11-23 17:13:33,0,0,0,163,163,163,173,83,81,96,95,94,28,26,25,71,71,71,91,92,94,85,85,84,80,79,79,69,71,72,rap
2,Kirko Bangz - Love 2 Trap (Official Video).mp4,KirkoBangzMusic,"Kirko Bangz ""Back Flossin"" mixtape OUT NOW!!",12776,4.88071584702,488,15,00:03:27,207, ,2016-11-22 21:31:21,0,0,0,48,48,48,53,53,53,46,46,46,43,43,43,49,48,48,43,43,43,58,58,58,78,79,80,48,48,47,rap
3,Twista - Next To You (Official Video) ft. Jeremih.mp4,TwistaVEVO,"Get the single, ""Next To You"". Out Now!
iTunes: https://itunes.apple.com/us/album/next-to-you-feat.-jeremih/id1166410665?ls=1
Spotify: http://open.spotify.com/album/5HY6istA4orh5cUz9jWUwu
Amazon: https://www.amazon.com/Next-You-feat-Jeremih-Explicit/dp/B01MDNTT8U/ref=sr_1_1?s=dmusic&ie=UTF8&qid=1476982264&sr=1-1-mp3-albums-bar-strip-0&keywords=Next+to+You+%28feat.+Jeremih%29
Google Play: https://play.google.com/music/m/Bwfyyzr25veyzsyiax7ycwvzh3a


Official music video by Twista performing Next To You (Official Video). 2016 GMG Entertainment / EMPIRE

http://vevo.ly/DtLSWa",89856,4.95826101303,2276,24,00:03:37,217,"[Twista, Next, To, You, (Official, Video), GMG, Entertainment, EMPIRE, Rap/Hip-Hop]",2016-11-21 20:00:02,97,97,97,120,120,119,33,33,33,63,63,63,51,52,52,30,30,30,45,44,44,20,21,21,40,40,39,80,79,79,rap
4,"Lil Yachty - Minnesota ft. Quavo, Skippa da Flippa.mp4",LilYachtyVEVO,"Official video for “Minnesota” from the Lil Boat Mixtape - listen + buy https://Yachty.lnk.to/Minnesota
Share GIFS from the video  http://www.giphy.com/LilYachty

Video by: Snow-Beach Production http://www.snow-beach.com
Custom wardrobe in the video by http://www.ikonnewyork.com
Executive Produced by Matt Zolly
Directed by RJ Sanchez and Brendan Vaughan

Visit Lil Yachty:
https://www.lilyachty.com
https://www.instagram.com/lilyachty
https://twitter.com/lilyachty
https://www.facebook.com/lilyachtysailingteam

Music video by Lil Yachty performing Minnesota. (C) 2016 Quality Control Music, Capitol Records and Motown Records

http://vevo.ly/XG27XA",2891043,4.50167798996,58689,8352,00:03:45,225,"[Lil, Yachty, Minnesota, Quality, Control, Music, LLC, Hip, Hop, Lil Yachty, Lil Boat, Quavo, Migos, Hip Hop, Cold Like Minnesota, Rap, Quality Control, Motown]",2016-11-18 16:00:01,0,0,24,74,74,75,103,105,105,67,67,67,74,75,73,88,88,87,61,62,62,72,73,71,68,67,67,39,39,39,rap
5,A Tribe Called Quest - We The People.....mp4,TribeCalledQuestVEVO,"""We got it from Here... Thank You 4 Your service"" Available at iTunes: http://smarturl.it/ATCQ_iTunes
D2C: http://smarturl.it/ATCQ_D2C
Apple Music: http://smarturl.it/ATCQ_AM
Spotify:  http://smarturl.it/ATCQ_Spotify
Google Play: http://smarturl.it/ATCQ_GP
Amazon Digital: http://smarturl.it/ATCQ_Dig
Deezer: http://smarturl.it/ATCQ_Dzr
Soundcloud: http://smarturl.it/ATCQ_SC
Tidal: http://smarturl.it/ATCQ_Tidal

Follow A Tribe Called Quest
Website: www.atribecalledquest.com
Facebook: https://www.facebook.com/ATribeCalledQuest
Twitter: https://twitter.com/ATCQ
Myspace: https://myspace.com/atribecalledquest

Video Director: James Larese
Video Production company: Triggr & Bloom
Video Producer: Cisco Newman

(C) 2016 Epic Records, a division of Sony Music Entertainment",1383816,4.90550708771,33561,812,00:03:14,194,"[Rap, Epic, Phife, Beats Rhymes and Life, Bonita Applebum Busta Rhymes Can I Kick It, De La Soul, The Arsenio Hall Show, Check the Rhime, Leaders of the New School, I Left My Wallet in El Segundo, Ali Shaheed Muhammad, Hip Hop, We Got It From Here, Award Tour, Phife Dawg, QTip, People's Instinctive Travels and the Paths of Rhythm, Scenario, Thank You 4 Your Service, We The People...., Jazz, Low End Theory, Q-Tip, Electric Relaxation, Tribe]",2016-11-18 04:30:00,0,0,0,43,43,42,112,112,112,21,21,21,23,24,24,15,15,15,29,29,30,24,24,24,31,31,31,38,38,38,rap
6,Travis Scott - 90210 ft. Kacy Hill.mp4,TravisScottVEVO,"Download ""Rodeo"" at iTunes: http://smarturl.it/TSRodeo
Spotify: http://smarturl.it/TSRodeoSptfy
Amazon: http://smarturl.it/TSRodeoAmznDig
Google Play: http://smarturl.it/TSRodeoGP
Rdio: http://smarturl.it/TSRodeoRdio

https://twitter.com/trvisxx
https://instagram.com/travisscott/
https://www.facebook.com/travisscottlaflame

(C) 2016 Epic Records, a division of Sony Music Entertainment",1855558,4.89513540268,54491,1467,00:05:05,305,"[Quintana, Rap, Epic/Grand Hustle, 90210, Travis Scott feat. Kacy Hill, Owl Pharaoh, Travi$, Days Before Rodeo, Rodeo, Mamacita, #LaFlame, 3500, La Flame, Upper Echelon, Hip Hop]",2016-11-17 08:00:00,63,64,64,20,20,20,22,22,22,22,22,22,23,23,76,20,20,19,24,25,25,26,26,26,29,31,31,18,18,18,rap
7,Jeezy - Bout That Feat. Lil Wayne (Official Video).mp4,CTE thaWorld,"Jeezy's ""Trap or Die 3"" Available Now! http://smarturl.it/TrapOrDie3  

Download/Stream Trap or Die 3:
iTunes: http://smarturl.it/iTrapOrDie3  
Amazon: http://smarturl.it/aTrapOrDie3
Google Play: http://smarturl.it/gTrapOrDie3
Soundcloud: http://smarturl.it/scTrapOrDie3
Tidal: http://smarturl.it/tTrapOrDie3
Spotify: http://smarturl.it/sTrapOrDie3

More From Jeezy: 
http://instagram.com/jeezy
http://facebook.com/jeezy
http://twitter.com/jeezy
http://youtube.com/jeezyvevo",398835,4.87570810318,5644,181,00:03:51,231,"[jeezy, lil wayne, official video, music video, bout that, trap or die 3, trap or die, mixtape, snowman, lil weezy, weezy, def jam, def jam recordings, cte]",2016-11-16 16:31:09,0,0,0,1,0,0,23,25,25,11,11,11,25,25,25,15,15,15,20,21,21,9,9,8,23,23,23,11,11,11,rap
8,G-Eazy - Some Kind Of Drug ft. Marc E. Bassy.mp4,GEazyMusicVEVO,"G-Eazy new album ""When It's Dark Out"" Available Now! Get it on:
iTunes: http://smarturl.it/GEazyWIDO?IQid=yt
Stream on Spotify: http://smarturl.it/GEazyWIDOs?IQid=yt
Google Play: http://smarturl.it/GEazyWIDOg?IQid=yt
Amazon: http://smarturl.it/GEazyWIDOa?IQid=yt

Follow G-Eazy:
Facebook: https://www.facebook.com/G.Eazy 
Twitter: https://twitter.com/g_eazy 
Instagram: https://instagram.com/G_Eazy 
http://www.g-eazy.com/",4225914,4.93599370827,130121,2116,00:04:23,263,"[Rap, G-Eazy feat. Marc E. Bassy, BPG/RVG/RCA Records, Some Kind Of Drug]",2016-11-16 08:00:02,48,48,49,80,83,84,88,89,87,86,86,84,87,87,88,22,49,18,44,46,46,92,89,90,37,37,37,66,63,64,rap
9,E-40 _SAVAGE_ Feat. Jazzy Pha & B-Legit.mp4,E40TV,New Album D-Boy Diary 1 & 2 - http://smarturl.it/E40_TheDBoyDiary,433972,4.88274002075,9735,294,00:04:02,242,"[e-40, d-boy, jazzy pha, b-legit, savage]",2016-11-15 18:17:32,0,0,3,66,66,66,34,34,34,67,67,66,32,32,32,30,30,30,44,43,42,66,67,67,25,25,25,31,31,31,rap
