Link,URL
       Adam Rickfors feat Marylin - Colors (Official Music Video)     ,/watch?v=aqYvu_rCy_k&index=1&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Dillon Francis - Without You ft. T.E.E.D. [Official Music Video]     ,/watch?v=Do1xw0hMdcs&index=2&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       CLMD vs. Kish feat. Fröder - The Stockholm Syndrome     ,/watch?v=3vozw18HiwM&index=3&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Gareth Emery feat. Christina Novelli - Concrete Angel [Official Music Video]     ,/watch?v=0dFz10R529g&index=4&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Zedd - Stay The Night ft. Hayley Williams     ,/watch?v=i-gyZ35074k&index=5&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Avicii - You Make Me (Official)     ,/watch?v=2GADx4Hy-Gg&index=6&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Avicii - Levels     ,/watch?v=_ovdm2yX4MA&index=7&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Nicky Romero - Toulouse     ,/watch?v=KrVC5dm5fFc&index=8&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Martin Garrix - Animals (Official Video)     ,/watch?v=gCYcHz2k5x0&index=9&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Calvin Harris - I Need Your Love ft. Ellie Goulding     ,/watch?v=AtKZKl7Bgu0&index=10&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
"       Destructo - ""Higher"" (Official Video)     ",/watch?v=Gxvt6y_5TmI&index=11&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Destructo - Technology (Official Video)     ,/watch?v=okzPYiPMCD8&index=12&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Kaskade - Atmosphere (Official Video)     ,/watch?v=sXQVicNodMw&index=13&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       [Deleted Video]     ,/watch?v=K2wt0Cj49EE&index=14&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
"       Die Antwoord - ""Fatty Boom Boom"" (Official Video)     ",/watch?v=AIXUgtNC4Kc&index=15&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       [Private Video]     ,/watch?v=R1J1Q4uqnC4&index=16&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       'I FINK U FREEKY' by DIE ANTWOORD (Official)     ,/watch?v=8Uee_mcxvrw&index=17&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       AZEALIA BANKS - 212 FT. LAZY JAY     ,/watch?v=i3Jv9fNPjgk&index=18&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Iggy Azalea - Work (Explicit)     ,/watch?v=_zR6ROjoOX0&index=19&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       SchoolBoy Q - Collard Greens (Explicit) ft. Kendrick Lamar     ,/watch?v=_L2vJEb6lVE&index=20&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Above & Beyond feat. Zoë Johnston -  Love Is Not Enough (OFFICIAL MUSIC VIDEO)     ,/watch?v=AkI6bCEHoSQ&index=21&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       About You [directed by VASH]     ,/watch?v=lG5aSZBAuPs&index=22&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Bloom - Dpat [directed by VASH]     ,/watch?v=B4qinckhG7Y&index=23&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       SAMI - Crazy [directed by VASH]     ,/watch?v=_0Kyl4uaf1w&index=24&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Sleepyhead - Rainbow Thorns [directed by VASH] HD     ,/watch?v=IAMSIxkcz0M&index=25&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       The Zone [directed by VASH]     ,/watch?v=2Kd_CPEnD40&index=26&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Destructo feat: Oliver LA Funky     ,/watch?v=2osxs39qw08&index=27&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       CAZZETTE - Beam Me Up(Official Director Cut)     ,/watch?v=mp-IZEFqrG0&index=28&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Calvin Harris - Bounce ft. Kelis     ,/watch?v=ooZwmeUfuXg&index=29&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Tim Berg - Seek Bromance (Official Video HD)     ,/watch?v=Jrd25gjyDhE&index=30&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Justice - D.A.N.C.E. (Official Video)     ,/watch?v=sy1dYFGkPUE&index=31&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       M83 'Midnight City' Official video     ,/watch?v=dX3k_QDnzHE&index=32&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Martin Solveig - The Night Out (Official Music Video)     ,/watch?v=KUlv7qraZaM&index=33&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Avicii - Silhouettes     ,/watch?v=6VJBBUqr1wM&index=34&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
       Calvin Harris - Sweet Nothing ft. Florence Welch     ,/watch?v=17ozSeGw-fY&index=35&list=PLugvAD1Oxz8vFqUBFSlE4bYYaSaq5kp2a
