Link,URL
       The Chainsmokers - Closer ft. Halsey     ,/watch?v=0zGcUoRlhmw&index=1&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Simonne Jones - Gravity     ,/watch?v=kn92fZHbWDY&index=2&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Stylez Major - Set Me Free {Official Music Video} +Lyrics     ,/watch?v=txOtZfq04-4&index=3&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       ItaloBrothers - Kings & Queens (Official Video)     ,/watch?v=vFhsVO28IRk&index=5&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna     ,/watch?v=kOkQ4T5WO9E&index=7&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       The Chainsmokers - Setting Fires (Lyric) ft. XYLØ     ,/watch?v=v6IAJOOmDMg&index=8&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Martin Garrix & Bebe Rexha - In The Name Of Love (Official Video)     ,/watch?v=RnBT9uUYb1w&index=9&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Calvin Harris - My Way (Official Video)     ,/watch?v=b4Bj7Zb-YD4&index=10&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Andra & Mara - Sweet Dreams (Radio Killer Remix)     ,/watch?v=e3Qu5C0pcGA&index=11&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Jonas Blue - Perfect Strangers ft. JP Cooper     ,/watch?v=Ey_hgKCCYU4&index=12&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Mike Perry - The Ocean ft. Shy Martin     ,/watch?v=5JxgDJvqGmM&index=13&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Deorro - Bailar feat. Elvis Crespo (Official Video)     ,/watch?v=9cBtJYI6itg&index=14&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Cheat Codes & Dante Klein - Let Me Hold You (Turn Me On) [Lyric Video]     ,/watch?v=B-0e0HvR74s&index=15&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Empire Of The Sun - High And Low     ,/watch?v=ntlpTad3PLM&index=16&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Clean Bandit - Rockabye ft. Sean Paul & Anne-Marie [Official Video]     ,/watch?v=papuvlVeZg8&index=17&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Afrojack - Gone ft. Ty Dolla $ign     ,/watch?v=_on54HMZswI&index=18&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       DJ Snake - Middle ft. Bipolar Sunshine     ,/watch?v=IvPT2QuCIOA&index=20&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       The Chainsmokers - Don't Let Me Down ft. Daya     ,/watch?v=Io0fBr1XBUA&index=21&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Galantis - No Money (Official Video)     ,/watch?v=xUVz4nRmxn4&index=23&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       David Guetta ft. Zara Larsson - This One's For You (Official Audio) (UEFA EURO 2016™ Official Song)     ,/watch?v=QKqP36nymV4&index=24&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Cheat Codes x Kris Kross Amsterdam - SEX (Official Music Video)     ,/watch?v=OORoOGY8D2M&index=25&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Flume - Never Be Like You feat. Kai [Official Music Video]     ,/watch?v=-KPnyf8vwXI&index=26&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Steve Aoki & Felix Jaehn - Can't Go Home feat. Adam Lambert (Official Video)     ,/watch?v=uA3ttXhRBYU&index=27&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Andra - Love Can Save It All (Official Video)     ,/watch?v=DBcVPsTmG5I&index=28&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Major Lazer - Light It Up (feat. Nyla & Fuse ODG) [Remix] (Official Music Video)     ,/watch?v=e7eZUGB9HKU&index=29&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Martin Garrix - Now That I've Found You (feat. John & Michel) [Official Video]     ,/watch?v=xuSxRuk_07Y&index=30&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Alan Walker - Faded     ,/watch?v=60ItHLz5WEA&index=31&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Seeb - Breathe ft. Neev     ,/watch?v=SyRv0-oPfKE&index=32&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Kygo - Stay ft. Maty Noyes     ,/watch?v=z9porfO8C_Q&index=33&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Kygo - Raging ft. Kodaline     ,/watch?v=ZhzN7-Q00KU&index=34&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Yellow Claw & DJ Mustard - In My Room (feat. Ty Dolla $ign & Tyga) [Official Music Video]     ,/watch?v=3G32BQ3JJ1c&index=35&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       David Guetta - Bang My Head (Official Video) feat Sia & Fetty Wap     ,/watch?v=qqjVwAg5fK4&index=36&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Rudimental - Lay It All On Me feat. Ed Sheeran [Official Video]     ,/watch?v=WtejRvpwscY&index=37&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       Avicii - Broken Arrows     ,/watch?v=V6iKSUoUN48&index=38&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
       99 Souls - The Girl Is Mine (featuring Destiny's Child & Brandy) [Official Video]     ,/watch?v=BMaT2nGaEVg&index=39&list=PLhS3DcL9XnJh51QvewUQWbU1QCMnalzAT
