,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
0,Luke Bryan - Roller Coaster.mp4,LukeBryanVEVO,"Luke Bryan - Crash My Party
Purchase now on iTunes: http://smarturl.it/3g8995?IQid=VEVO 

Music video by Luke Bryan performing Roller Coaster. (C) 2014 Capitol Records Nashville",28948653,4.84010791779,127866,5324,00:04:23,263,"[Luke, Bryan, Roller, Coaster, Capitol, Records, Nashville, Country]",2014-06-21 11:00:03
1,Dierks Bentley - Drunk On A Plane.mp4,DierksBentleyVEVO,"Purchase Dierks Bentley’s latest music: http://umgn.us/dierksbentleypurchase
Stream the latest from Dierks Bentley: http://umgn.us/dierksbentleystream
Sign up to receive email updates from Dierks Bentley: http://umgn.us/dierksbentleyupdates

Website: http://www.dierks.com
Facebook: https://www.facebook.com/dierksbentley
Instagram: https://www.instagram.com/dierksbentley
Twitter: https://twitter.com/dierksbentley

Music video by Dierks Bentley performing Drunk On A Plane. (C) 2014 Capitol Records Nashville",41548786,4.76363897324,140682,8835,00:04:51,291,"[Dierks, Bentley, Drunk, On, Plane, Capitol, Records, Nashville, Country]",2014-05-13 20:16:23
2,Thomas Rhett - Get Me Some Of That.mp4,ThomasRhettVEVO,"Music video by Thomas Rhett performing Get Me Some Of That. (C) 2013 The Valory Music Co., LLC",43868160,4.82606887817,128488,5841,00:03:13,193,"[Thomas, Rhett, Get, Me, Some, Of, That, The, Valory, Music, Co., LLC, Country]",2013-12-10 08:00:01
3,David Nail - Whatever She's Got.mp4,DavidNailVEVO,"Purchase David Nail’s latest music: http://umgn.us/davidnailpurchase
Stream the latest from David Nail: http://umgn.us/davidnailstream
Sign up to receive email updates from David Nail: http://umgn.us/davidnailupdates

Website: http://www.davidnail.com
Facebook: https://www.facebook.com/DavidNail
Instagram: https://www.instagram.com/davidnail
Twitter: https://twitter.com/davidnail

Music video by David Nail performing Whatever She's Got. (C) 2013 MCA Nashville, a Division of UMG Recordings, Inc.",48648247,4.82663154602,141108,6393,00:04:01,241,"[David, Nail, Whatever, She's, Got, MCA, Nashville, Country]",2013-07-16 07:00:15
4,Joe Nichols - Yeah.mp4,JoeNicholsVEVO,"Joe Nichols - Yeah
“Yeah” from Joe Nichol’s Crickets album, available here: http://smarturl.it/crickets-yeah 
Directed by Wes Edwards

Subscribe for new music: http://smarturl.it/joenicholschannel 
Watch more videos: https://www.youtube.com/joenichols 

Follow Joe: 
http://www.joenichols.com 
https://twitter.com/joenichols 
https://www.facebook.com/joenichols 

 (C) 2014 RED BOW RECORDS",11397694,4.81572532654,33255,1606,00:03:52,232,"[Joe Nichols, Red Bow Records, Country, Yeah]",2014-05-27 07:00:01
5,Jack Ingram - Barefoot And Crazy.3gp,JackIngramVEVO,"Music video by Jack Ingram performing Barefoot And Crazy. (C) 2009 Big Machine Records, LLC",2524089,4.82300901413,2808,130,00:03:43,223,"[Jack, Ingram, Big, Machine, Records, LLC, Country]",2009-11-24 17:11:26
6,Eric Paslay - Friday Night.mp4,EricPaslayVEVO,"Purchase Eric Paslay’s latest music: http://umgn.us/ericpaslaypurchase
Stream the latest from Eric Paslay: http://umgn.us/ericpaslaystream
Sign up to receive email updates from Eric Paslay: http://umgn.us/ericpaslayupdates

Website: http://www.ericpaslay.com
Facebook: https://www.facebook.com/ericpaslay
Instagram: http://instagram.com/ericpaslay
Twitter: https://twitter.com/ericpaslay

Music video by Eric Paslay performing Friday Night. (C) 2013 EMI Records Nashville",11652934,4.83735561371,32158,1363,00:02:58,178,"[Eric, Paslay, Friday, Night, EMI, Records, Nashville, Country]",2013-08-05 07:00:15
7,Kip Moore - Beer Money.mp4,KipMooreVEVO,"Download Kip’s debut album Up All Night on iTunes!
http://bit.ly/KipUpAllNightiTunes
Vote for Kip once a day every day to win an American Country Award this year here http://www.theacas.com!",12249945,4.82346487045,35823,1654,00:04:15,255,"[Kip, Moore, Beer, Money, MCA, Nashville, Country]",2012-09-20 07:00:10
8,Cole Swindell - Chillin' It (Official Video).mp4,Cole Swindell,"Pre-order Cole Swindell's debut album now at iTunes and get ""Chillin' It"" and ""Hope You Get Lonely Tonight"" instantly - http://smarturl.it/coleswindell

http://www.coleswindell.com/
https://www.facebook.com/coleswindellmusic
https://twitter.com/coleswindell",24239612,4.84034967422,83037,3452,00:03:27,207,"[Cole Swindell, Chillin It, Chillin' It, Country Music, Luke Bryan, Florida Georgia Line]",2013-11-11 05:50:44
9,Randy Houser - Runnin' Outta Moonlight.mp4,RandyHouserVEVO,Music video by Randy Houser performing Runnin' Outta Moonlight. (C) 2013 Stoney Creek Records,11405613,4.87130355835,39045,1298,00:03:17,197,"[Randy, Houser, Runnin', Outta, Moonlight, Stoney, Creek, Records, Country, BBRMusicGroup]",2013-05-23 20:25:32
