Link,URL
       The Chainsmokers - Closer ft. Halsey     ,/watch?v=0zGcUoRlhmw&index=1&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       The Weeknd - Starboy (official) ft. Daft Punk     ,/watch?v=34Na4j8AVgA&index=2&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video]     ,/watch?v=SMs0GnYze34&index=3&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Ariana Grande - Side To Side ft. Nicki Minaj     ,/watch?v=SXiSVQZLje8&index=4&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna     ,/watch?v=kOkQ4T5WO9E&index=5&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Andra - Why (Official Video)     ,/watch?v=rhcc1KQlCS4&index=6&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       The Chainsmokers - Don't Let Me Down ft. Daya     ,/watch?v=Io0fBr1XBUA&index=7&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Maroon 5 - Don't Wanna Know     ,/watch?v=ANS9sSJA9Yc&index=8&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]     ,/watch?v=3AtDnEC4zak&index=9&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Justin Bieber - Sorry (PURPOSE : The Movement)     ,/watch?v=fRh_vgS2dFE&index=10&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       James Arthur - Say You Won't Let Go     ,/watch?v=0yW7w8F2TVA&index=11&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Andra - Love Can Save It All (Official Video)     ,/watch?v=DBcVPsTmG5I&index=12&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Shawn Mendes - Treat You Better     ,/watch?v=lY2yjAdbvdQ&index=13&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Fifth Harmony - Work from Home ft. Ty Dolla $ign     ,/watch?v=5GL9JoH4Sws&index=14&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Sia - The Greatest     ,/watch?v=GKSRyLdjsPA&index=15&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Dance Video)     ,/watch?v=nBtDsQ4fhXY&index=16&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Sia - Cheap Thrills (Lyric Video) ft. Sean Paul     ,/watch?v=nYh-n7EOtMA&index=17&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Bruno Mars - 24K Magic [Official Video]     ,/watch?v=UqyT8IEBkvY&index=18&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Andra & Mara - Sweet Dreams (Radio Killer Remix)     ,/watch?v=e3Qu5C0pcGA&index=19&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Martin Garrix & Bebe Rexha - In The Name Of Love (Official Video)     ,/watch?v=RnBT9uUYb1w&index=20&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit)     ,/watch?v=foE1mO2yM04&index=21&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Calvin Harris - My Way (Official Video)     ,/watch?v=b4Bj7Zb-YD4&index=22&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       The Chainsmokers - All We Know ft. Phoebe Ryan     ,/watch?v=7mWQ38SpEf8&index=23&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Alan Walker - Faded     ,/watch?v=60ItHLz5WEA&index=24&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack     ,/watch?v=RgKAFK5djSk&index=25&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
"       Hailee Steinfeld, Grey - Starving ft. Zedd     ",/watch?v=xwjwCFZpdns&index=26&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Clean Bandit - Rockabye ft. Sean Paul & Anne-Marie [Official Video]     ,/watch?v=papuvlVeZg8&index=27&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Shawn Mendes - Mercy     ,/watch?v=KkGVmN68ByU&index=28&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Little Mix - Shout Out to My Ex (Official Video)     ,/watch?v=bFDzhKdrN9M&index=29&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Alessia Cara - Scars To Your Beautiful     ,/watch?v=MWASeaYuHZo&index=30&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Andra feat. David Bisbal - Without You (Official Video)     ,/watch?v=EflkXHaDYsU&index=31&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Zara Larsson - Ain't My Fault (Official Video)     ,/watch?v=eC-F_VZ2T1c&index=32&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Charlie Puth - Dangerously [Official Video]     ,/watch?v=TBXQu8ORnBQ&index=33&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Nick Jonas - Voodoo     ,/watch?v=C1CjEKtlfS8&index=34&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Jonas Blue - Perfect Strangers ft. JP Cooper     ,/watch?v=Ey_hgKCCYU4&index=35&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
"       Sucker for Pain - Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors     ",/watch?v=-59jGD4WrmE&index=36&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       The Weeknd - False Alarm     ,/watch?v=CW5oGRx9CLM&index=37&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Bruno Mars - Versace on The Floor [Official Audio]     ,/watch?v=d2UZlwTDGbY&index=38&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Maroon 5 - Sugar     ,/watch?v=09R8_2nJtjg&index=39&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       Rihanna - Work (Explicit) ft. Drake     ,/watch?v=HL1UzIK-flA&index=40&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
       twenty one pilots: Ride (Video)     ,/watch?v=Pw-0pbY9JeU&index=41&list=PLMC9KNkIncKtGvr2kFRuXBVmBev6cAJ2u
