Link,URL
       Melanie Martinez - Mrs. Potato Head [Official Video]     ,/watch?v=wkri1NUq9ro&index=1&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
"       Machine Gun Kelly, Camila Cabello - Bad Things     ",/watch?v=QpbQ4I3Eidg&index=2&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       DJ Snake - Let Me Love You ft. Justin Bieber     ,/watch?v=euCqAq6BRa4&index=3&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Beyoncé - All Night     ,/watch?v=gM89Q5Eng_M&index=4&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Tove Lo - True Disaster (Part of Fairy Dust)     ,/watch?v=GMsok5m5yD4&index=5&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Shakira - Chantaje (Official video) ft. Maluma     ,/watch?v=6Mgqbai3fKo&index=6&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Britney Spears - Slumber Party ft. Tinashe     ,/watch?v=2RRY3OVqtwc&index=7&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Melanie Martinez - Pacify Her (Official Video)     ,/watch?v=9u14-QBPzSE&index=8&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
"       Cashmere Cat - Trust Nobody ft. Selena Gomez, Tory Lanez     ",/watch?v=1Vn1BXfsd4Q&index=9&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       John Legend - Love Me Now     ,/watch?v=NmCFY1oYDeM&index=10&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Imagine Dragons - Shots     ,/watch?v=81fer9ulOeA&index=11&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Little Big Town - Better Man     ,/watch?v=ph9NQ8ASmX4&index=13&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       ??? Jay Park - 'Me Like Yuh' [Official Music Video]     ,/watch?v=1hYP4rmRVKE&index=14&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       Far East Movement x Marshmello - Freal Luv ft. Chanyeol & Tinashe (Official Music Video)     ,/watch?v=BWDqy0zZAsY&index=18&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
       DNCE - Body Moves     ,/watch?v=NOBVEq_Bi5k&index=21&list=PL2HEDIx6Li8jqhOAi7wQb18wXQ3oeLAO8
