Link,URL
       Fetty Wap - Flip Phone | Visual by @mastemindrichy     ,/watch?v=v1tCbd_RZps&index=1&list=PL4052EF31AFAB6867
       Meek Mill - On The Regular [Official Music Video]     ,/watch?v=eHTa826qRLg&index=2&list=PL4052EF31AFAB6867
       Kirko Bangz - Love 2 Trap (Official Video)     ,/watch?v=yU04zXt1WK0&index=3&list=PL4052EF31AFAB6867
       Twista - Next To You (Official Video) ft. Jeremih     ,/watch?v=gohOnnY5AoY&index=4&list=PL4052EF31AFAB6867
"       Lil Yachty - Minnesota ft. Quavo, Skippa da Flippa     ",/watch?v=FvpWJKRPadk&index=5&list=PL4052EF31AFAB6867
       A Tribe Called Quest - We The People....     ,/watch?v=vO2Su3erRIA&index=6&list=PL4052EF31AFAB6867
       Travis Scott - 90210 ft. Kacy Hill     ,/watch?v=BuNBLjJzRoo&index=7&list=PL4052EF31AFAB6867
       Jeezy - Bout That Feat. Lil Wayne (Official Video)     ,/watch?v=JToyF2DQpGk&index=8&list=PL4052EF31AFAB6867
       G-Eazy - Some Kind Of Drug ft. Marc E. Bassy     ,/watch?v=TtqiBUOSm_A&index=9&list=PL4052EF31AFAB6867
"       E-40 ""SAVAGE"" Feat. Jazzy Pha & B-Legit     ",/watch?v=jV1dHMmJaDs&index=10&list=PL4052EF31AFAB6867
       K Camp - Free Money ft. Slim Jxmmi     ,/watch?v=X7RouzmwR6A&index=11&list=PL4052EF31AFAB6867
       Troy Ave - Chuck Norris (Official Video)     ,/watch?v=yh9XgTnh1Gk&index=12&list=PL4052EF31AFAB6867
       Young Thug - Webbie feat Duke [Official Video]     ,/watch?v=FO0R7xFB2xc&index=13&list=PL4052EF31AFAB6867
       Meek Mill - Blue Notes [Official Music Video]     ,/watch?v=lcTv9vAIbVQ&index=14&list=PL4052EF31AFAB6867
       Soulja Boy & Bow Wow - Fucking Up A Check     ,/watch?v=syBj-K4SSjE&index=15&list=PL4052EF31AFAB6867
       Ty Dolla $ign - Campaign ft. Future [Music Video]     ,/watch?v=YmbTAvYU3As&index=16&list=PL4052EF31AFAB6867
       DJ Esco feat Future - Check On Me [Official Video]     ,/watch?v=iMgt9UXx-mc&index=17&list=PL4052EF31AFAB6867
       Nick Cannon - If I Was Your Man ft. Jeremih     ,/watch?v=RqLMn9umGD8&index=18&list=PL4052EF31AFAB6867
       Young Dolph - Foreva ft. T.I.     ,/watch?v=ROEgvEbu4g8&index=19&list=PL4052EF31AFAB6867
       French Montana - XPlicit ft. Miguel     ,/watch?v=2NFKr1V1aTs&index=20&list=PL4052EF31AFAB6867
       B.o.B -  Air Bender     ,/watch?v=Mbbdk23aD7c&index=21&list=PL4052EF31AFAB6867
       Jeezy - G Wagon (Official Video)     ,/watch?v=NHK9sB8pdOE&index=22&list=PL4052EF31AFAB6867
       Future - Used to This ft. Drake     ,/watch?v=SZDmuHSqwtg&index=23&list=PL4052EF31AFAB6867
       Tech N9ne - What If It Was Me (ft. Krizz Kaliko) - Official Music Video     ,/watch?v=55BCdfUY5Z4&index=24&list=PL4052EF31AFAB6867
       Dae Dae - Spend It [Official Music Video]     ,/watch?v=3qnXue8CVWY&index=25&list=PL4052EF31AFAB6867
       Meek Mill - The Difference feat. Quavo [Official Music Video]     ,/watch?v=DDr7s4PLjes&index=26&list=PL4052EF31AFAB6867
       Meek Mill - Shine [Official Music Video]     ,/watch?v=8rgXN5xn3mc&index=27&list=PL4052EF31AFAB6867
       Desiigner - Zombie Walk ft. King Savage     ,/watch?v=FLeMssD0R3Y&index=28&list=PL4052EF31AFAB6867
       Trinidad James - Hipster Stripclub     ,/watch?v=f5UVJoRdwBA&index=29&list=PL4052EF31AFAB6867
       #been     ,/watch?v=7V3UI4IsEKk&index=30&list=PL4052EF31AFAB6867
       Jim Jones - Eastside (feat. Dave East)     ,/watch?v=xO8QKheSAOY&index=31&list=PL4052EF31AFAB6867
       Migos - Bad and Boujee ft Lil Uzi Vert [Official Video]     ,/watch?v=S-sJp1FfG7Q&index=32&list=PL4052EF31AFAB6867
       Kid Cudi - Surfin' ft. Pharrell Williams     ,/watch?v=F5KgsubkMCA&index=33&list=PL4052EF31AFAB6867
       K Camp - Ice Cream     ,/watch?v=e4qIteM-YeQ&index=34&list=PL4052EF31AFAB6867
       Belly - Ballerina     ,/watch?v=ZMSmoG_ABS8&index=35&list=PL4052EF31AFAB6867
       Slim Thug - Peaceful     ,/watch?v=fm90BJLaRg4&index=36&list=PL4052EF31AFAB6867
       Kid Ink - One Day     ,/watch?v=ZroXHqakeuw&index=37&list=PL4052EF31AFAB6867
"       Juicy J, Wiz Khalifa, TM88 - Bossed Up (Official Video)     ",/watch?v=S2DMZcJXv6E&index=38&list=PL4052EF31AFAB6867
       YG - One Time Comin'     ,/watch?v=2nTCUI5reJw&index=39&list=PL4052EF31AFAB6867
"       21 Savage & Metro Boomin - ""Feel It"" (Official Music Video)     ",/watch?v=_eXEO7bzo4w&index=40&list=PL4052EF31AFAB6867
       Taylor Gang - Sleep At Night [Official Video]     ,/watch?v=fVsTXNRAFTk&index=41&list=PL4052EF31AFAB6867
"       A$AP Mob - Money Man / Put That On My Set ft. A$AP Rocky, A$AP Nast, Yung Lord, Skepta     ",/watch?v=wQ274umjhFY&index=42&list=PL4052EF31AFAB6867
       21 Savage & Metro Boomin - No Heart (Official Music Video)     ,/watch?v=6wtwpUwxQik&index=43&list=PL4052EF31AFAB6867
       Big Baby D.R.A.M. - Cash Machine [Official Music Video]     ,/watch?v=9rx0eqQl8wk&index=44&list=PL4052EF31AFAB6867
       Z-Ro - New Shit (Official Video)     ,/watch?v=KZAsZYlRyG8&index=45&list=PL4052EF31AFAB6867
       Fetty Wap - ISLAND ON MY CHAIN (Official Music Video) Dir. @BrainFilmz     ,/watch?v=uT6UQVWPIMU&index=46&list=PL4052EF31AFAB6867
       2 Chainz - Ounces Back     ,/watch?v=2_R19E61Qnw&index=47&list=PL4052EF31AFAB6867
"       DJ Mustard - Want Her ft. Quavo, YG     ",/watch?v=p87yDgGCFIA&index=48&list=PL4052EF31AFAB6867
"       Ab-Soul ""Huey Knew""     ",/watch?v=mS1P75OPnRE&index=49&list=PL4052EF31AFAB6867
"       Young M.A - ""Quiet Storm"" (Official Video)     ",/watch?v=0p6cdupczSc&index=50&list=PL4052EF31AFAB6867
       Kid Cudi - Frequency     ,/watch?v=KzvywmVRWAo&index=51&list=PL4052EF31AFAB6867
       Gucci Mane - Icy Lil Bitch [Official Music Video]     ,/watch?v=nr2fObAF93Q&index=52&list=PL4052EF31AFAB6867
       Pusha T - H.G.T.V.     ,/watch?v=7s63y_kfWt4&index=53&list=PL4052EF31AFAB6867
       K Camp - Hungry N Lurkin     ,/watch?v=oPZNHjf1Oac&index=54&list=PL4052EF31AFAB6867
       Dave East - Type of Time (Official Music Video)     ,/watch?v=dy5yK9yHUrc&index=55&list=PL4052EF31AFAB6867
