Link,URL
       False Prophets - J. Cole     ,/watch?v=wvFDXV0VBg4&index=1&list=PL4052EF31AFAB6867
       Everybody Dies - J. Cole     ,/watch?v=-5slZHLSnow&index=2&list=PL4052EF31AFAB6867
       DJ Mustard - Main Bitch ft. RJ     ,/watch?v=3hGXgNT6OXc&index=3&list=PL4052EF31AFAB6867
       Soulja Boy - Pesos     ,/watch?v=aaPhpg0pqpo&index=4&list=PL4052EF31AFAB6867
"       Young M.A - ""EAT"" (Official Video)     ",/watch?v=GW3gTa-XAlU&index=5&list=PL4052EF31AFAB6867
"       Rick Ross - Buy Back the Block ft. 2 Chainz, Gucci Mane     ",/watch?v=BUu8u7fX8Pc&index=6&list=PL4052EF31AFAB6867
       Gucci Mane - St. Brick Intro [Official Music Video]     ,/watch?v=yuBbGyWSc-c&index=7&list=PL4052EF31AFAB6867
"       Machine Gun Kelly, Camila Cabello - Bad Things     ",/watch?v=QpbQ4I3Eidg&index=8&list=PL4052EF31AFAB6867
       Lil Durk - Rich Forever Feat YFN Lucci (Official Music Video)     ,/watch?v=h6FnjwFQbT4&index=9&list=PL4052EF31AFAB6867
"       DJ Mustard - Know My Name ft. Rich The Kid, RJ     ",/watch?v=9LjkAjWOZOY&index=10&list=PL4052EF31AFAB6867
       Rae Sremmurd - Shake It Fast ft. Juicy J     ,/watch?v=7pqTa1lQjtY&index=11&list=PL4052EF31AFAB6867
       Fetty Wap - Make You Feel Good [Official Video]     ,/watch?v=eRsSxEVmSnw&index=12&list=PL4052EF31AFAB6867
       Ty Dolla $ign - $ [Music Video]     ,/watch?v=Q10AqolSgQg&index=13&list=PL4052EF31AFAB6867
       Gucci Mane - Last Time feat. Travis Scott [Official Music Video]     ,/watch?v=42Amfo4YN8c&index=14&list=PL4052EF31AFAB6867
       Brianna Perry & Lee Mazin - TOB (Them Other Bxxxxes) [Official Video]     ,/watch?v=plqPjeRR9eo&list=PL4052EF31AFAB6867&index=115
"       NO, MY NAME IS JEFFERY 8/26     ",/watch?v=PSs6WnZ2830&list=PL4052EF31AFAB6867&index=116
       G-Eazy - Calm Down     ,/watch?v=g6mDSHAfa4M&list=PL4052EF31AFAB6867&index=117
       Slim Thug - King (Official Video)     ,/watch?v=Cv_dWQK5Sv4&list=PL4052EF31AFAB6867&index=118
       Gucci Mane - At Least A M [Official Music Video]     ,/watch?v=EIFeDOSPFbI&list=PL4052EF31AFAB6867&index=119
       Z-Ro - I Know     ,/watch?v=-GJMeaHEHI4&list=PL4052EF31AFAB6867&index=120
       Logic - Super Mario World (Official Video)     ,/watch?v=LoHKgj0zsTY&list=PL4052EF31AFAB6867&index=121
"       Kid Ink - Nasty ft. Jeremih, Spice     ",/watch?v=6pMnj5M-Zfo&list=PL4052EF31AFAB6867&index=122
       OTHER SIDE  - TORY LANEZ  (I TOLD YOU 8-19-16)     ,/watch?v=4uO1PtoN3Mg&list=PL4052EF31AFAB6867&index=123
       Mistah F.A.B. - Still Feelin' It     ,/watch?v=ZIPRVFCmi-k&list=PL4052EF31AFAB6867&index=124
       The Game - All Eyez ft. Jeremih     ,/watch?v=BeOQNHXobpQ&list=PL4052EF31AFAB6867&index=125
       Trina - For Free (Freestyle)     ,/watch?v=dYyjj4rGJHQ&list=PL4052EF31AFAB6867&index=126
"       YG - Why You Always Hatin? ft. Drake, Kamaiyah     ",/watch?v=HkVS79y4p4Y&list=PL4052EF31AFAB6867&index=127
"       Young Thug, Travis Scott - Pick Up the Phone (Explicit) ft. Quavo     ",/watch?v=mZDinQ92OZQ&list=PL4052EF31AFAB6867&index=128
"       Joe Budden - Flex (Official Video) ft. Tory Lanez, Fabolous     ",/watch?v=ySZAd9OgUhE&list=PL4052EF31AFAB6867&index=129
"       Joey Bada$$ - ""Devastated"" (Official Music Video)     ",/watch?v=RLnA25dVzrQ&list=PL4052EF31AFAB6867&index=130
       Gucci Mane - Gucci Please [Official Music Video]     ,/watch?v=-2KUVvjeMkk&list=PL4052EF31AFAB6867&index=131
       Jim Jones - Harlem (feat. A$AP Ferg) (Official Music Video)     ,/watch?v=9xKdRdsJofA&list=PL4052EF31AFAB6867&index=132
       B.o.B - $tack Of Dreams - Official Video     ,/watch?v=vgEMhuuUeDo&list=PL4052EF31AFAB6867&index=133
       Maino - Heard U     ,/watch?v=jPudMPMB1GI&list=PL4052EF31AFAB6867&index=134
       Rae Sremmurd - Set The Roof ft. Lil' Jon     ,/watch?v=tkClJp0jSgA&list=PL4052EF31AFAB6867&index=135
       Young Dolph - Royalty     ,/watch?v=9LEgymKtDNo&list=PL4052EF31AFAB6867&index=136
       Juicy J - No English ft. Travi$ Scott     ,/watch?v=I5YmFyPTukE&list=PL4052EF31AFAB6867&index=137
       Skrillex & Rick Ross - Purple Lamborghini [Official Video]     ,/watch?v=ZkqyIoYAXV8&list=PL4052EF31AFAB6867&index=138
"       Lil Yachty - ""All In"" (Official Music Video)     ",/watch?v=QrdQiGotAoo&list=PL4052EF31AFAB6867&index=139
       Lil Durk - Super Powers     ,/watch?v=_0qhqYe0F-k&list=PL4052EF31AFAB6867&index=140
       Dreezy - We Gon Ride ft. Gucci Mane     ,/watch?v=wIqJfixrJu8&list=PL4052EF31AFAB6867&index=141
       Birdman - Breathe     ,/watch?v=Rsgl14UQHDQ&list=PL4052EF31AFAB6867&index=142
       Brianna Perry - Something To Live For featuring Stacy Barthe     ,/watch?v=_IeICInrmAg&list=PL4052EF31AFAB6867&index=143
       French Montana - No Shopping ft. Drake     ,/watch?v=mDU-5jwPKmQ&list=PL4052EF31AFAB6867&index=144
       YG - Word Is Bond ft. Slim 400     ,/watch?v=zsFV-R1ypwA&list=PL4052EF31AFAB6867&index=145
       Soulja Boy - No Time (Official Video) Shot By @AZaeProduction     ,/watch?v=Gi7oIdfWQx0&list=PL4052EF31AFAB6867&index=146
