Link,URL
       Metallica: Moth Into Flame (Official Music Video)     ,/watch?v=4tdKl-gTpZg&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=1
       twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO]     ,/watch?v=UprcpdwuwCg&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=2
       OneRepublic - Kids     ,/watch?v=Y56lpXvXbs0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=3
       Avenged Sevenfold - The Stage     ,/watch?v=fBYVlFXsEME&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=4
       Panic! At The Disco: LA Devotee [OFFICIAL VIDEO]     ,/watch?v=r5dNcKTcnPA&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=5
       twenty one pilots: Stressed Out [OFFICIAL VIDEO]     ,/watch?v=pXRviuL6vMY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=6
"       Metallica: Atlas, Rise! (Official Music Video)     ",/watch?v=JFAcOnhcpGA&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=7
       Green Day - Still Breathing (Official Music Video)     ,/watch?v=SUzsih7QJSY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=8
       Kings Of Leon - Waste A Moment     ,/watch?v=AmAaWCFlxEE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=9
       Red Hot Chili Peppers - Go Robot [OFFICIAL VIDEO]     ,/watch?v=HI-8CVixZ5o&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=10
       Kings Of Leon - WALLS     ,/watch?v=BdF41Ne2cnQ&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=11
       twenty one pilots: Ride (Video)     ,/watch?v=Pw-0pbY9JeU&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=12
       ONE OK ROCK: Taking Off [OFFICIAL VIDEO]     ,/watch?v=slbGwyE_9oY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=13
       Green Day - Revolution Radio (Official Lyric Video)     ,/watch?v=LHPKOy3dtqQ&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=14
       She's Out Of Her Mind - blink-182 [MUSIC VIDEO]     ,/watch?v=krpm0v_486k&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=15
       X Ambassadors - Unsteady     ,/watch?v=V0lw3qylVfY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=16
       Leonard Cohen - You Want It Darker (Audio)     ,/watch?v=v0nmHymgM7Y&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=17
       Disturbed  - The Sound Of Silence [Official Music Video]     ,/watch?v=u9Dg-g7t2l4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=18
       The Lumineers - Angela     ,/watch?v=_II0fc7hgNY&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=19
       Bring Me The Horizon - Oh No (Official Video)     ,/watch?v=SEp9Kh0M4f0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=20
       Moby & The Void Pacific Choir - Are You Lost In The World Like Me (Official Video)     ,/watch?v=VASywEuqFd8&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=21
       Bullet For My Valentine - Don't Need You     ,/watch?v=g6DdX51fnxM&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=22
       Korn - A Different World (Feat. Corey Taylor) (OFFICIAL VIDEO)     ,/watch?v=0zXDys_gwHk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=23
       Ghost - Square Hammer     ,/watch?v=OyYA8FlfBd0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=24
       Metallica: Confusion (Official Music Video)     ,/watch?v=ZChXK2rdr9M&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=25
       Green Day - Bang Bang (Official Music Video)     ,/watch?v=wvu2-xQUNQI&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=26
       Metallica: Spit Out the Bone (Official Music Video)     ,/watch?v=m46Z0-HXySo&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=27
       The Pretty Reckless - Take Me Down (Official Music Video)     ,/watch?v=BQpZv2r8fb4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=28
       Robbie Williams | Party Like A Russian - Official Video     ,/watch?v=MdYGQ7B0Vew&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=29
       Panic! At The Disco - Bohemian Rhapsody (from Suicide Squad: The Album) (Audio)     ,/watch?v=Jl6oJTB4TpA&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=30
"       Sucker for Pain - Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors     ",/watch?v=-59jGD4WrmE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=31
       Metallica: Hardwired (Official Music Video)     ,/watch?v=uhBHL3v4d3I&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=32
       Coldplay - A Head Full Of Dreams (Official video)     ,/watch?v=vGZMvV9KBp8&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=33
       Korn - Insane (OFFICIAL VIDEO)     ,/watch?v=P-zb4C_k7Ek&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=34
       Metallica: Now That We're Dead (Official Music Video)     ,/watch?v=QlF4rhAbwyc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=35
       Bon Jovi - This House Is Not For Sale     ,/watch?v=_Ri2KEiXlNk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=36
       Metallica: Dream No More (Official Music Video)     ,/watch?v=yqIQvE5R1tU&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=37
       Wish That You Were Here (From “Miss Peregrine’s Home for Peculiar Children”)     ,/watch?v=dsWDUvuF0Xc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=38
       Metallica: ManUNkind (Official Music Video)     ,/watch?v=tUVr2xnGIEo&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=39
       twenty one pilots: Cancer (Cover) [LYRIC VIDEO]     ,/watch?v=yw6i1SAHetc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=40
       Five Finger Death Punch - I Apologize     ,/watch?v=OzvasAJIHb4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=41
       Korn - Rotting In Vain (OFFICIAL VIDEO)     ,/watch?v=nq9j1qkj2Vc&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=42
       Action Bronson & Dan Auerbach (of The Black Keys) ft. Mark Ronson – “Standing In The Rain”     ,/watch?v=JG1VLYp5DjQ&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=43
       Metallica: Murder One (Official Music Video)     ,/watch?v=2Mkq6GFLIsk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=44
       Fitz and the Tantrums - HandClap [Official Video]     ,/watch?v=Y2V6yjjPbX0&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=45
       The Lumineers - Ophelia     ,/watch?v=pTOC_q0NLTk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=46
       Skillet - I Want To Live [Official Audio]     ,/watch?v=KQcY1aj9XTI&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=47
       Coldplay - Hymn For The Weekend (Official video)     ,/watch?v=YykjpeuMNEk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=48
       The 1975 - Somebody Else (Official Video)     ,/watch?v=Bimd2nZirT4&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=49
       AURORA - I Went Too Far     ,/watch?v=eT6dLJd3rYk&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=50
       Skillet -  Back From The Dead [Official Audio]     ,/watch?v=W44HrKFTPaE&list=PLRZlMhcYkA2HybvsMzUcsqoxqlCEHXnpC&index=51
