Link,URL
       Aerosmith - I Don't Wanna Miss a Thing     ,/watch?v=Vo_0UXRY_rY&list=PL421EBB01AACAA997&index=6
       Incubus - Make A Move     ,/watch?v=7DsH7cT97i8&list=PL421EBB01AACAA997&index=80
       Papa Roach - Broken Home     ,/watch?v=yERDDbP53Sw&list=PL421EBB01AACAA997&index=125
       SOiL - Redefine     ,/watch?v=WkqJ8SvaDfc&list=PL421EBB01AACAA997&index=156
       Killswitch Engage - My Curse [OFFICIAL VIDEO]     ,/watch?v=iPW9AbRMwFU&list=PL421EBB01AACAA997&index=88
       A Day To Remember - Have Faith In Me     ,/watch?v=4WMmCtkhWi0&list=PL421EBB01AACAA997&index=5
       Korn - Throw Me Away (Director: C.J. Johnson)     ,/watch?v=EHcGgdEVgBU&list=PL421EBB01AACAA997&index=97
       Bon Jovi-Thank You For Loving Me     ,/watch?v=ESOVrc4K3CQ&list=PL421EBB01AACAA997&index=31
       SR-71 - Tomorrow     ,/watch?v=vjSb7j3OSgk&list=PL421EBB01AACAA997&index=159
       Running Up That Hill - Placebo (High Quality)     ,/watch?v=IXgX_tF9PuE&list=PL421EBB01AACAA997&index=137
       Three Days Grace - Just Like You     ,/watch?v=04fQTmvFfGo&list=PL421EBB01AACAA997&index=173
       Cold - Stupid Girl     ,/watch?v=fGT1QRyVYvY&list=PL421EBB01AACAA997&index=42
       Papa Roach - Scars     ,/watch?v=eHbNU9WuVgw&list=PL421EBB01AACAA997&index=128
       Motörhead - Rock Out     ,/watch?v=v4b3MBkOx5k&list=PL421EBB01AACAA997&index=120
       Velvet Revolver - The Last Fight     ,/watch?v=2d86Ii4Z25c&list=PL421EBB01AACAA997&index=183
       Blue October - Calling You     ,/watch?v=iNyGK7ymW0k&list=PL421EBB01AACAA997&index=20
       Cold - Just Got Wicked     ,/watch?v=we5_bia7ON8&list=PL421EBB01AACAA997&index=41
       Shinedown - Save Me (Video)     ,/watch?v=T8dyxGiBx3g&list=PL421EBB01AACAA997&index=151
       NEW MEDICINE - Laid [OFFICIAL MUSIC VIDEO]     ,/watch?v=rYirxf9n9l0&list=PL421EBB01AACAA997&index=122
       Korn - Thoughtless     ,/watch?v=xVPvzX-AeSM&list=PL421EBB01AACAA997&index=96
       Limp Bizkit - My Way     ,/watch?v=Dn8vzTsnPps&list=PL421EBB01AACAA997&index=105
       Bon Jovi - (You Want To) Make A Memory     ,/watch?v=nWuZMBtrc1E&list=PL421EBB01AACAA997&index=23
       Killswitch Engage - Holy Diver [OFFICIAL VIDEO]     ,/watch?v=NR7dG_m3MsI&list=PL421EBB01AACAA997&index=87
       Andrew W.K. - Party Hard     ,/watch?v=WccfbPQNMbg&list=PL421EBB01AACAA997&index=13
       KITTIE Cut Throat (new 2009!) Official Video     ,/watch?v=rsuTuAVJrF8&list=PL421EBB01AACAA997&index=90
       Puddle Of Mudd - Blurry     ,/watch?v=xJJsoquu70o&list=PL421EBB01AACAA997&index=134
       Three Days Grace - I Hate Everything About You     ,/watch?v=d8ekz_CSBVg&list=PL421EBB01AACAA997&index=172
       Creed - One Last Breath     ,/watch?v=5yY1Nrznh4I&list=PL421EBB01AACAA997&index=46
       Tokio Hotel - Monsoon     ,/watch?v=LncwJU9kAnk&list=PL421EBB01AACAA997&index=175
       Creed - Higher     ,/watch?v=C-zcQkdrfDs&list=PL421EBB01AACAA997&index=43
       Korn - Did My Time     ,/watch?v=xmOOGeZE-aE&list=PL421EBB01AACAA997&index=93
       Crawling (Official Video) - Linkin Park     ,/watch?v=Gd9OhYroLN0&list=PL421EBB01AACAA997&index=112
       Call Me When You're Sober - Evanescence     ,/watch?v=izYIO9VtjUs&list=PL421EBB01AACAA997&index=38
       Deftones - My Own Summer (Video)     ,/watch?v=XOzs1FehYOA&list=PL421EBB01AACAA997&index=52
       Fall Out Boy - I Don't Care     ,/watch?v=Alh6iIvVN9o&list=PL421EBB01AACAA997&index=67
"       Fall Out Boy - Dance, Dance     ",/watch?v=C6MOKXm8x50&list=PL421EBB01AACAA997&index=66
       New Divide (Official Video) - Linkin Park     ,/watch?v=ysSxxIqKNN0&list=PL421EBB01AACAA997&index=108
       Shinedown - Simple Man (Video)     ,/watch?v=rgFQ6WmxdMs&list=PL421EBB01AACAA997&index=152
       Limp Bizkit - Rollin' (Air Raid Vehicle)     ,/watch?v=RYnFIRc0k6E&list=PL421EBB01AACAA997&index=107
       ARCHITECTS (UK) - Day In Day Out (OFFICIAL VIDEO)     ,/watch?v=8H2JaF4KGGo&list=PL421EBB01AACAA997&index=15
       Saints of Los Angeles - Motley Crue     ,/watch?v=2W_7qqTxY78&list=PL421EBB01AACAA997&index=138
       Godsmack - Speak     ,/watch?v=v8ueA9FNb0U&list=PL421EBB01AACAA997&index=72
       Powerman 5000 - Bombshell     ,/watch?v=fnayvmyploE&list=PL421EBB01AACAA997&index=132
       Trapt - Headstrong (Official Music Video)     ,/watch?v=HTvu1Yr3Ohk&list=PL421EBB01AACAA997&index=179
       Lenny Kravitz - Are you Gonna go my way     ,/watch?v=T_dnWWnKCTk&list=PL421EBB01AACAA997&index=102
       Faint (Official Video) - Linkin Park     ,/watch?v=LYU-8IFcDPw&list=PL421EBB01AACAA997&index=113
       Godsmack - Greed     ,/watch?v=Vgnj2NcMMDY&list=PL421EBB01AACAA997&index=69
       AIRBOURNE - Runnin' Wild / feat. Lemmy (Official Music Video)     ,/watch?v=2T6e_mk0O24&list=PL421EBB01AACAA997&index=2
       Audioslave - Like a Stone (Official Video)     ,/watch?v=7QU1nvuxaMA&list=PL421EBB01AACAA997&index=18
       Korn - Somebody Someone     ,/watch?v=FBEE-t-uyI0&list=PL421EBB01AACAA997&index=95
       Andrew W.K. - She is Beautiful     ,/watch?v=0ZyhB1-Yb4U&list=PL421EBB01AACAA997&index=14
       Numb/Encore [Live] - Linkin Park & Jay Z     ,/watch?v=DLlF2FMv968&list=PL421EBB01AACAA997&index=109
       My Chemical Romance - Helena (Official Music Video)     ,/watch?v=WcwweoJDkV0&list=PL421EBB01AACAA997&index=121
       Papa Roach - Getting Away With Murder     ,/watch?v=-rdmG0k8S8k&list=PL421EBB01AACAA997&index=127
       Motley Crue - If I Die Tomorrow     ,/watch?v=bg2knMSq9sQ&list=PL421EBB01AACAA997&index=116
       Creed - My Own Prison     ,/watch?v=_YoUuwDZuW0&list=PL421EBB01AACAA997&index=44
       Bret Michaels - Raine     ,/watch?v=BqsJtQGTBZ8&list=PL421EBB01AACAA997&index=34
       Godsmack - Keep Away     ,/watch?v=1uvwGmRf5M8&list=PL421EBB01AACAA997&index=71
       Bon Jovi - Everyday     ,/watch?v=870-_Fa5bgo&list=PL421EBB01AACAA997&index=25
       Evanescence - Everybody´s Fool     ,/watch?v=u55fpsbzAfk&list=PL421EBB01AACAA997&index=62
"       Lenny Kravitz ""Stand By Your Woman""     ",/watch?v=YaY4pU-5tDE&list=PL421EBB01AACAA997&index=100
       System Of A Down - Aerials     ,/watch?v=L-iepu3EtyE&list=PL421EBB01AACAA997&index=164
       Uncle Kracker - Drift Away     ,/watch?v=q8itvQSruCE&list=PL421EBB01AACAA997&index=180
       The Fray - Look After You     ,/watch?v=1iYOOuJLuaY&list=PL421EBB01AACAA997&index=169
       Seether - Remedy     ,/watch?v=9mZBCOZ1Qm4&list=PL421EBB01AACAA997&index=145
       Lamb of God - Laid to Rest     ,/watch?v=fOWB6rmSd4I&list=PL421EBB01AACAA997&index=99
       All That Remains - Two Weeks     ,/watch?v=gGtW4AFyLyM&list=PL421EBB01AACAA997&index=12
       Kid Rock Only God Knows Why     ,/watch?v=FMBM5JvKQ0s&list=PL421EBB01AACAA997&index=85
       The Darkness - I Believe In A Thing Called Love     ,/watch?v=sRYNYb30nxU&list=PL421EBB01AACAA997&index=167
       Jaded - Aerosmith     ,/watch?v=705LEH3j2g0&list=PL421EBB01AACAA997&index=84
       Bon Jovi - Have A Nice Day     ,/watch?v=uCg2BoKiuOM&list=PL421EBB01AACAA997&index=26
       Lenny Kravitz - Fly Away     ,/watch?v=EvuL5jyCHOw&list=PL421EBB01AACAA997&index=104
"       Seether - ""Fake It"" Uncensored     ",/watch?v=Sep27sMmG-0&list=PL421EBB01AACAA997&index=140
       SOULFLY - Prophecy     ,/watch?v=zCc_jLctZkA&list=PL421EBB01AACAA997&index=158
       Limp Bizkit - Nookie     ,/watch?v=JTMVOzPPtiw&list=PL421EBB01AACAA997&index=106
       Incubus - Dig     ,/watch?v=6Z8cnXVGm1I&list=PL421EBB01AACAA997&index=78
       Better Now - Collective Soul     ,/watch?v=xAHBuWl48cg&list=PL421EBB01AACAA997&index=19
"       AIRBOURNE - Too Much, Too Young, Too Fast (Official Music Video)     ",/watch?v=uANVBPVaf-g&list=PL421EBB01AACAA997&index=8
       Seether- Rise Above this (Official Video)     ,/watch?v=4eMaepzsxr8&list=PL421EBB01AACAA997&index=147
       Shinedown - Devour [OFFICIAL VIDEO]     ,/watch?v=0QXNtLaOnSE&list=PL421EBB01AACAA997&index=150
       Seether -  Truth     ,/watch?v=8VxVgEx1_yg&list=PL421EBB01AACAA997&index=146
       Aerosmith - Pink     ,/watch?v=RLRLhV9U0kQ&list=PL421EBB01AACAA997&index=7
       Children Of Bodom - Blooddrunk     ,/watch?v=MUmS9TVspAU&list=PL421EBB01AACAA997&index=40
       Incubus - Nice to Know You     ,/watch?v=Qf_7mEPMIAc&list=PL421EBB01AACAA997&index=81
       Blue October - Dirt Room     ,/watch?v=AXEfa3JnPDU&list=PL421EBB01AACAA997&index=21
       Deftones - Rocket Skates [Official Music Video]     ,/watch?v=woR6ohiFeYE&list=PL421EBB01AACAA997&index=53
       Lenny Kravitz - Be     ,/watch?v=3j4kbMSHRQk&list=PL421EBB01AACAA997&index=103
       The Fray - Never Say Never     ,/watch?v=Aihu16RyYp8&list=PL421EBB01AACAA997&index=170
