,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,The Chainsmokers - Closer ft. Halsey.mp4,ChainsmokersVEVO,"Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz 

""Closer"" ft. Halsey
iTunes: http://smarturl.it/CloseriT
Spotify: http://smarturl.it/CloserStream
Apple Music: http://smarturl.it/CloserAM
Amazon: http://smarturl.it/CloserAmz
Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz 

""Closer"" ft. Halsey
iTunes: http://smarturl.it/CloseriT
Spotify: http://smarturl.it/CloserStream
Apple Music: http://smarturl.it/CloserAM
Amazon: http://smarturl.it/CloserAmz

Directed by: Dano Cerny

Follow The Chainsmokers:
http://www.youtube.com/thechainsmokers
http://www.twitter.com/thechainsmokers
http://www.facebook.com/thechainsmokers
http://www.instagram.com/thechainsmokers
http://www.soundcloud.com/thechainsmokers

Follow Halsey:
Twitter: http://twitter.com/halsey
Facebook: https://www.facebook.com/HalseyMusic
Instagram: http://instagram.com/iamhalsey
Spotify: http://smarturl.it/HalseySpotify
Newsletter: http://www.iamhalsey.com/mailinglist
Purchase Music: http://www.iamhalsey.com/badlandsbox
Directed by: Dano Cerny

Follow The Chainsmokers:
http://www.youtube.com/thechainsmokers
http://www.twitter.com/thechainsmokers
http://www.facebook.com/thechainsmokers
http://www.instagram.com/thechainsmokers
http://www.soundcloud.com/thechainsmokers

Follow Halsey:
Twitter: http://twitter.com/halsey
Facebook: https://www.facebook.com/HalseyMusic
Instagram: http://instagram.com/iamhalsey
Spotify: http://smarturl.it/HalseySpotify
Newsletter: http://www.iamhalsey.com/mailinglist
Purchase Music: http://www.iamhalsey.com/badlandsbox",80719986,4.86728477478,963621,33069,00:04:07,247,"[Closer, Disruptor Records/Columbia, The Chainsmokers feat. Halsey, Dance]",2016-10-24 14:00:01,60,50,40,70,60,50,80,70,60,50,40,30,90,80,70,100,90,80,30,40,50,60,80,70,40,50,60,60,80,80,edm
1,Simonne Jones - Gravity.mp4,simonnejonesVEVO,"https://www.youtube.com/watch?v=kn92fZHbWDY 

Simonne Jones – ‘Gravity’. Listen now on Spotify http://spoti.fi/1TVYHzmor | Apple Music http://smarturl.it/qi9be8 or pre order on iTunes http://smarturl.it/dhbzl0 | Amazon MP3 http://smarturl.it/rnl8fp | Google Play http://smarturl.it/a0c8pp

More information
http://www.simonnejones.com/
https://www.facebook.com/simonnejonesofficial/
https://www.instagram.com/simonnejones/
https://twitter.com/simonnejones/
http://spoti.fi/1TVYHzm

http://www.6point67x10-11.com/",145268,4.78515005112,599,34,00:03:24,204,"[Simonne, Jones, Gravity, Vertigo, Berlin, Pop]",2016-04-18 15:00:05,130,110,110,120,100,100,110,90,90,50,30,30,100,80,80,40,20,20,140,120,120,100,90,80,130,120,110,110,100,90,edm
2,Stylez Major - Set Me Free {Official Music Video} +Lyrics.mp4,Stylez Major Music,"Stream on SPOTIFY FOR FREE HERE!!https://play.spotify.com/track/7pq7Zw9KezxWBypjLok67W Stylez Major - Set Me Free is a song about freedom and reclaiming it for yourself, it's a song about being an individual and living out your dreams and being who you are no mattter what. It's a song for independence and self acceptance.Subscribe,Like, Share & Comment Now and Receive a chance to win a GO PRO HD CAMERA prize for top comment , please comment with #Dreams at the end. LYRICS BELOW! 


Chorus (X2) Controlling Me Using Me Pulling Me Down Down Set Me Free Let Me Be now I'm On My Own I'm All Alonne ..onee. 
Verse( 1) 
They try to tells us what to do tell us tell us how to live like we aint got no brains that shit driving me insane, all I wanna be is everything I am everything inside of me I give this music all of me release these shackles set me paying my own destiny don't need you to rescue me feeling free to just do me, living life until we die just how we want  just watch us fly looking deeply in the sky find are dreams deep inside, amazing how you feel alive funny cause we all survive  at one point I felt petrified then I found that exercise haterz just like pesticides and I found that repellent forever in rebellion then ima stack a million searching from within cuz I know its all there it was foggy now its clear feeling like I'm here feeling on top cuz I started at the bottom rest in peace 2 pac man I wanna find who shot em. 

Controlling Me Using Me Pulling Me Down Down Set Me Free Let Me Be now I'm On My Own I'm All Alonne ..onee. 
Verse 2- 
 You got everything you need in your heart that's from the start even when times get dark you will always find that spark you listing to everyone how can you be yourself they feeling you with lies they don't here you when you cry  , live life to the fullest live it how you want it your a king or a queen riding round limousine take time out your day to let yourself know that you got your own soul you refuse to be a clone , listening to the music let yourself free this is heavens ecstasy and know you finally see and now your finally free now your just like me living this life living it right, so unique to the universe  yes you truly are regardless if you do or you don't believe in god round oapplouse to yourslef you have graduated ever let another hater leaver you aggistated. 
Chourus X2
Controlling Me Using Me Pulling Me Down Down Set Me Free Let Me Be now I'm On My Own I'm All Alonne ..onee.",12109337,4.26563835144,16040,3607,00:03:46,226,"[stylez major set me free, set me free, stylez major, Illuminati (Defunct Organization), 2pac, biggie smallz, nas, jayz, kanye west]",2014-05-22 05:54:43,240,250,260,70,50,50,240,250,260,80,60,50,80,60,60,240,240,260,260,240,250,70,50,40,260,250,240,230,230,250,edm
3,ItaloBrothers - Kings & Queens (Official Video).mp4,Zooland.TV,"https://www.facebook.com/zoolandtv

Spotify: https://goo.gl/0QalBf
iTunes: https://goo.gl/XchqW4
ItaloBrothers - Kings & Queens (Video Edit) in stores!

https://www.facebook.com/ItaloBrothers

Video by: Lina Schütze

--

© Copyright protected work. ℗ by Zooland.TV - All rights reserved. Only for watching, listening and streaming. Downloading, copying, sharing and making available is strictly prohibited.",1037662,4.91420030594,9489,208,00:03:24,204,"[official, video, full, hd, zooland, music, records, manian, cascada, ItaloBrothers, R.I.O., kings, queens, stamp, on, the, ground, kings & queens, Denmark]",2015-11-26 21:07:11,10,20,30,10,20,30,0,10,20,10,30,30,20,30,40,10,20,30,10,30,40,0,10,20,0,20,20,10,20,40,edm
4,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna.mp4,CalvinHarrisVEVO,"Calvin Harris - This Is What You Came For feat. Rihanna
Get it now: http://smarturl.it/DownloadCH?IQid=YT
Listen: http://smarturl.it/StreamCH?IQid=YT

Subscribe to Calvin's channel: http://smarturl.it/CHVevo?IQid=YT

--------------

Follow Calvinonline:
http://calvinharris.com
Snapchat: CalvinHarris
Instagram: http://smarturl.it/CHInstagram?IQid=YT
Facebook: http://smarturl.it/CHFacebook?IQid=YT
Twitter: http://smarturl.it/CHTwitter?IQid=YT
Spotify: http://smarturl.it/CHSptfy?IQid=YT
Google+: http://smarturl.it/CHGPlus?IQid=YT

--------------

Follow Rihanna online:
Instagram : http://instagram.com/badgalriri 
Twitter : https://twitter.com/Rihanna 
Facebook : https://facebook.com/Rihanna
YouTube : http://youtube.com/user/Rihanna
Website : http://Rihannanow.com

--------------

Download
iTunes: http://smarturl.it/CH.iTunes?IQid=YT
Google Play: http://smarturl.it/CHGoogleP?IQid=YT
Amazon MP3: http://smarturl.it/CHAmzMP3?IQid=YT
7Digital: http://smarturl.it/CH7dig?IQid=YT",1027365971,4.78584051132,4086001,231139,00:03:59,239,"[Calvin Harris feat. Rihanna, Columbia, Dance, This Is What You Came For]",2016-06-17 04:01:00,50,40,30,70,60,50,40,30,20,60,50,40,80,70,60,10,20,30,90,80,70,70,50,40,80,70,50,60,40,30,edm
5,The Chainsmokers - Setting Fires (Lyric) ft. XYLØ.mp4,ChainsmokersVEVO,"Collage EP OUT NOW: http://smarturl.it/TCSCollage
Urban Outfitters White Vinyl: http://smarturl.it/CollageVinyl 
Amazon Physical: http://smarturl.it/CollageAmz

Follow The Chainsmokers:
http://www.youtube.com/thechainsmokers
http://www.twitter.com/thechainsmokers
http://www.facebook.com/thechainsmokers
http://www.instagram.com/thechainsmokers
http://www.soundcloud.com/thechainsmokers

Follow XYLØ:
http://www.facebook.com/wearexylo
http://www.instagram.com/wearexylo
http://www.twitter.com/werexylo
http://www.xylo-music.com
 
DIRECTOR: James 'Zola' Zwadlo // (Insta: @THEZOLA)
EXECUTIVE PRODUCERS: James Gibbon & Tom Walker
DOP: Rory Skeotch

PRODUCERS: Ariyan Samarbaksh & James Zwadlo
PRODUCTION MANAGER: Ieva Ludviga
1ST AD: Chris Levett (Insta:@THELEVETT)

Post:

EDITORS - Alex Guana, James Zwadlo
COMPOSITING - James Zwadlo
GRAPHIC DESIGN - James Zwadlo
COLOUR GRADING - Peter Oppersdorff

Talent:

SKATERS
George Gough (Insta:@GTHECREATIVE) 
Darby Gough (Insta:@DARBYGOUGH) 
Chilli Hey (Insta:@CHILLIBRUV) 
Charlotte Thatcher (Insta:@CHARZ1995)

MODEL & FIRE BREATHER
Rebecca Crow (Katherine SG) - (Insta:@KATSANDCROWS)

MODELS
Coryn Betts (Insta:@CORYNXBETTS)
Jolie Altman (Insta:@ITMEJOLIE) 
Lauren Fernandez (Insta:@MISSFERNANDEZ_TATTOO)
Lauren Bunting (Insta:@LAURENBUNTI)
Dominic Dady (Insta:@FOXBLOOD) 

Sponsors:

Skateboards: (Insta:@_Junestore)
Clothing:  http://youngandidle.com

Produced by:
Whitecoat - http://whitecoat.tv/
Impossible Brief - http://impossiblebrief.com",22774527,4.91050815582,324536,7427,00:04:21,261,"[Disruptor Records/Columbia, Setting Fires, Dance, The Chainsmokers feat. XYLØ]",2016-11-10 15:00:09,40,20,20,50,30,30,40,20,20,40,20,30,20,0,0,50,20,20,60,30,30,30,0,0,50,20,30,60,20,30,edm
6,Martin Garrix & Bebe Rexha - In The Name Of Love (Official Video).mp4,Martin Garrix,"My collab together with Bebe Rexha 'In The Name Of Love' available now
Spotify - http://stmpd.co/sITNOL
iTunes - http://stmpd.co/iITNOL

Follow Martin Garrix: 
Facebook: http://facebook.com/MartinGarrix
Twitter: http://twitter.com/MartinGarrix
Instagram: http://instagram.com/MartinGarrix
YouTube: http://youtube.com/MartinGarrix",85068661,4.952085495,966685,11720,00:03:25,205,"[Martin Garrix, EDM, Animals, Wizard, Proxy, Error 404, BFAM, Tremor, GRX, Ultra, EDC, Dance music, Martin, Garrix, House, Techno, Hardwell, Tiesto, Skrillex, Avicii, Virus, Beatport, DJ Mag, Spinnin Records, Scooter Braun, Nicky Romero, Afrojack, David Guetta, Dimitri Vegas & Like Mike, Jay Hardway, Julian Jordan, Oliver Heldens, in the name of love, bebe rexha, music video, official]",2016-08-23 14:00:13,50,40,30,170,0,10,170,10,10,60,60,40,40,30,20,60,50,40,80,70,50,30,20,10,50,50,30,70,60,40,edm
7,Calvin Harris - My Way (Official Video).mp4,CalvinHarrisVEVO,"Calvin Harris - My Way (Official Video)
Download My Way:  http://smarturl.it/CHMyWay?IQid=yt
Listen to My Way: http://smarturl.it/StreamCH?IQid=yt

---------

Follow Calvin Harris:
Facebook: https://www.facebook.com/calvinharris/ 
Twitter: https://twitter.com/CalvinHarris 
Instagram: https://www.instagram.com/calvinharris/ 
Website: http://calvinharris.com/ 

---------

Calvin Harris - My Way (Lyrics)

Why wait 
To say
At least I did it my way 
Lie awake 
Two faced 
But in my heart I understand 
I made 
My move 
And it was all about you 
Now I feel 
So far removed 

You were the one thing in my way 

My way
Away away away",75085901,4.88824939728,723750,20801,00:04:04,244,"[my way, calvin harris my way, calvin harris this is what you came for, calvin harris my way instrumental, Calvin Harris, My Way, calvin harris my way lyrics, calvin harris rihanna, my way official video, my way remix, my way live, calvin harris haim, calvin harris summer, calvin harris my way audio, Columbia, calvin harris my way official video, Dance, calvin harris my way cover, calvin harris my way remix, calvin harris vevo, calvin, harris]",2016-10-28 07:00:01,40,50,60,50,60,70,30,40,50,60,70,80,40,60,70,70,80,90,60,110,140,50,70,80,70,130,160,80,90,100,edm
8,Andra & Mara - Sweet Dreams (Radio Killer Remix).mp4,Andra,"https://www.facebook.com/AndraMusic
https://instagram.com/andraofficial
https://twitter.com/AndraMusic

https://facebook.com/radiokilleron
https://instagram.com/radiokilleron

-

Andra & Mara - Sweet Dreams (T-Mass Remix)
https://youtu.be/ODtxmhKio9U

Andra & Mara - Sweet Dreams (Pascal Junior Remix)
https://youtu.be/DM5tJ7q9rYk

Andra - Why (Official Video): 
https://goo.gl/jpxQon",22364482,4.79117202759,30427,1676,00:03:28,208,"[mara sweet dreams, andra, romania, andra love can save it all, tmass, andra sweet dreams, audio, andra 2016, remix, tmass 2016, t-mass 2016, deep, pascal junior remix, sweet dreams remix, sweet dreams, t-mass remix, mara, ibiza, radio killer remix, 2016, summer, music]",2016-08-04 07:28:43,30,60,70,240,240,220,30,50,60,60,40,40,30,60,80,60,50,40,50,40,30,70,50,50,80,70,60,70,50,40,edm
9,Jonas Blue - Perfect Strangers ft. JP Cooper.mp4,JonasBlueVEVO,"Perfect Strangers Ft JP Cooper is out now! Listen on Spotify http://po.st/PerfectStrangersSp / Apple Music: http://po.st/PerfectStrangersAm / iTunes: http://po.st/PerfectStrangersiT 
Follow Jonas Blue Online
http://www.jonasbluemusic.com/
https://www.facebook.com/JonasBlueMusic/
https://twitter.com/JonasBlue
https://soundcloud.com/jonasblue
https://www.instagram.com/jonasblue

Follow JP Cooper Online
http://jpcoopermusic.com/
https://www.facebook.com/jpcoopermusic
https://twitter.com/JPCooperMusic
https://soundcloud.com/jpcoopermusic
http://po.st/JPCSpotPR Spotify

Director - Sashinski
Exec Producer - Harriet Towler
Producer - Liam Johnson
Production Coordinator - Kelly Grobler
Production Assistant - Nick Sherloch
Service Company - Robot SA
DoP - Derek Carlow
2nd Unit - Stephan Hambsch
First Assistant Director - Siya Sityana
Wardrobe Stylist - Kaley Meyer
Hair & Make-Up - Taryn-Lee Kelly
Editor - Aislinn Clifford
Colourist - Dan Moran
Posthouse - Coffee & TV
Commissioner - Ailsa Robertson",169986798,4.9138250351,918697,20228,00:03:28,208,"[Jonas, Blue, Perfect, Strangers, Positiva, Dance]",2016-06-14 09:00:01,210,200,190,60,50,40,50,40,30,80,110,120,40,100,110,60,80,80,70,90,110,70,50,40,90,120,130,110,130,140,edm
