,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,Incubus - Make A Move.3gp,IncubusVEVO,Music video by Incubus performing Make A Move. (C) 2005 SONY BMG MUSIC ENTERTAINMENT,1322067,4.95610904694,3335,37,00:03:22,202,"[Make A Move, Epic/Immortal, Alternative, Incubus]",2009-10-25 06:51:18,0,20,10,0,20,20,170,140,80,190,160,90,160,140,80,220,180,100,100,100,50,130,120,60,180,150,80,0,20,10,rock
1,Papa Roach - Broken Home.3gp,PapaRoachVEVO,Music video by Papa Roach performing Broken Home. (C) 2000 SKG Music L.L.C.,8982558,4.91013288498,32241,741,00:03:45,225,"[Papa, Roach, DreamWorks, Pop]",2009-10-06 17:23:51,20,10,0,30,20,10,40,40,20,40,30,10,40,30,20,30,20,0,50,50,30,30,30,10,60,60,40,50,40,30,rock
2,SOiL - Redefine.3gp,SOiLVEVO,"SOiL's official music video for 'Redefine'. Click to listen to SOiL on Spotify: http://smarturl.it/SOSpot?IQid=Red

As featured on Redefine. Click to buy the track or album via iTunes: http://smarturl.it/SOILREiTunes?IQid=Red
Google Play: http://smarturl.it/SOILREplay?IQid=Red
Amazon: http://smarturl.it/SOILREamz?IQid=Red

More from SOiL
Halo: https://youtu.be/RFc-2aNZ6VY
Unreal: https://youtu.be/wdTl5R1YzaA

More great Ultimate Metal videos here: http://smarturl.it/UMPlaylist?IQid=Red

Follow SOiL
Website: http://www.soiltheband.com/
Facebook: https://www.facebook.com/SOiLmusic
Twitter: https://twitter.com/soiltheband

Subscribe to SOiL on YouTube: http://smarturl.it/SOSub?IQid=Red

---------

Lyrics:

FIRST SIGHT
Turns me aroundagain
Brings me face to face with my sin
I've got it, always had it
A reason to look within now
TAKE FLIGHT
To your sun again
Burns the sin straight from my hands
I've got it, always had it
A reason to live within now

Every time I fall
You catch me
And every time I lose control
You help me, you save me
And every time I lose myself
You find me, redefine me",1949245,4.95484781265,6394,73,00:03:26,206,"[Redefine Official Video, Redefine Lyrics, Shine On, hq, official, soil, halo, Breaking Me Down, cover, karaoke, download, music, Pride, playlist, SOiLVEVO, Redefine, Unreal, audio, lyrics, live, music video, Testing, vevo, SOiL Redefine, Sony, J Records, soil live, Rock, soil lyrics, album, acoustic, soil unreal live, official video, soil unreal, single, soil halo, soil official, Redefine Live, instrumental, Mechanics, soil halo live, SOiL]",2009-10-25 08:21:35,0,20,10,20,50,40,10,30,20,10,40,30,30,60,50,50,80,70,40,70,60,0,30,20,30,50,40,40,60,50,rock
3,Killswitch Engage - My Curse [OFFICIAL VIDEO].3gp,Roadrunner Records,"Killswitch Engage's new album Disarm the Descent is available now on Roadrunner Records. 

- CD: http://smarturl.it/DisarmDescentCD
- iTunes: http://smarturl.it/kse-disarm
- Stream: http://smarturl.it/DisarmDescentStream

Site: http://www.killswitchengage.com/
Facebook: https://www.facebook.com/killswitchengage
Twitter: https://twitter.com/kseofficial
Instagram: http://instagram.com/killswitchengage

LYRICS

I watched you walk away
Hopeless, with nothing to say
I strain my eyes
Hoping to see you again

This is my curse (the longing)
This is my curse (time)
This is my curse (the yearning)
This is my curse

There is love burning to find you
Will you wait for me?
Will you be there?

Your silence haunts me
But still I hunger for you

This is my curse (the wanting)
This is my curse (time)
This is my curse (the needing)
This is my curse

There is love burning to find you
Will you wait for me?

And still I want
And still I ache
But still I wait
To see you again

Dying, inside, these walls [2x]

And I see your face in these tears
In these tears
And I see your face...

There is love",16982480,4.91373443604,80665,1778,00:04:04,244,"[Killswitch Engage (Musical Group), My Curse (Composition), Killswitch Engage (Musical Album), Roadrunner Records (Record Label), Howard Jones (Musical Artist), Adam Dutkiewicz (Record Producer), Mike D'Antonio (Musical Artist), Joel Stroetzel (Musical Artist), heavy metal, metalcore, Heavy Metal (Musical Genre), Metalcore (Musical Genre), Alternative Rock (Musical Genre), My Curse (Musical Recording), The End Of Heartache (Musical Album)]",2006-11-06 16:44:54,20,10,0,30,20,10,100,100,80,80,80,60,60,60,40,20,20,0,90,90,70,40,40,20,70,70,50,50,50,30,rock
4,A Day To Remember - Have Faith In Me.mp4,ADayToRememberVEVO,"A Day To Remember ""Have Faith In Me"" is from their album, Homesick, available now.
 
iTunes: http://bit.ly/UiufQN
Amazon: http://amzn.to/15g8ofR
Direct (CD / Vinyl): http://bit.ly/1avir7s 
Spotify: http://spoti.fi/7guuh9 

Directed by Mark Staubach
© Another Victory 2010",16292552,4.94859647751,104085,1355,00:03:10,190,"[Day, To, Remember, Have, Faith, In, Me, Victory, Metal/Hard, Rock]",2011-09-30 21:20:26,250,240,230,260,260,240,10,30,20,0,10,20,260,250,240,0,20,20,20,40,40,10,30,30,20,40,30,0,20,10,rock
5,Korn - Throw Me Away (Director_ C.J. Johnson).3gp,C.J. Johnson,"Korn: Throw Me Away
Directed by C.J. Johnson
Uploaded in 2006 - HD Version: https://youtu.be/9jystzW1EbE",960455,4.89302015305,2984,82,00:04:42,282,"[Korn, Throw, Me, Away, Music, Rock, Video, Crash, Drugs, Sad]",2006-10-15 02:18:57,20,10,0,100,80,60,110,90,70,130,110,90,140,120,100,120,100,80,140,140,120,80,60,40,150,130,110,80,80,60,rock
6,Bon Jovi-Thank You For Loving Me.3gp,華麗的一擊,Bon Jovi-Thank You For Loving Me,23084205,4.93216228485,46777,807,00:04:37,277,"[Bon, Jovi, Thank, you, for, loving, me]",2006-04-26 05:55:55,50,40,30,20,10,0,0,10,20,30,20,10,20,30,40,40,30,20,20,0,0,10,20,30,60,50,40,30,40,50,rock
7,SR-71 - Tomorrow.3gp,SR71VEVO,Music video by SR-71 performing Tomorrow. (C) 2002 BMG,1238315,4.94883918762,5017,65,00:03:47,227,"[Tomorrow, SR-71, Rock, RCA Records Label]",2009-10-25 08:21:46,50,60,70,200,220,220,40,50,60,190,210,210,210,230,230,20,10,0,30,10,10,80,100,100,80,90,110,110,130,130,rock
8,Running Up That Hill - Placebo (High Quality).3gp,4112007126,"High Quality. Placebo's version of Kate Bush's hit. 2007

""If I only could, I'd be running up that hill.
If I only could, I'd be running up that hill.""

It doesn't hurt me.
Do you want to feel how it feels?
Do you want to know that it doesn't hurt me?
Do you want to hear about the deal that I'm making?
You, it's you and me.

And if I only could,
I'd make a deal with God,
And I'd get him to swap our places,
Be running up that road,
Be running up that hill,
Be running up that building.
If I only could, oh...

You don't want to hurt me,
But see how deep the bullet lies.
Unaware I'm tearing you asunder.
Ooh, there is thunder in our hearts.

Is there so much hate for the ones we love?
Tell me, we both matter, don't we?
You, it's you and me.
It's you and me won't be unhappy.

And if I only could,
I'd make a deal with God,
And I'd get him to swap our places,
Be running up that road,
Be running up that hill,
Be running up that building,
Say, if I only could, oh...

""C'mon, baby, c'mon darling,
Let me steal this moment from you now.
C'mon, angel, c'mon, c'mon, darling,
Let's exchange the experience, oh...""

And if I only could,
I'd make a deal with God,
And I'd get him to swap our places,
Be running up that road,
Be running up that hill,
With no problems.

And if I only could,
I'd make a deal with God,
And I'd get him to swap our places,
Be running up that road,
Be running up that hill,
With no problems.

And if I only could,
I'd make a deal with God,
And I'd get him to swap our places,
Be running up that road,
Be running up that hill,
With no problems.

If I only could
Be running up that hill
With no problems...

""If I only could, I'd be running up that hill.
If I only could, I'd be running up that hill.""",16928,4.86666679382,58,2,00:04:53,293,"[Running, up, that, hill, placebo, kate, bush, lyrics, music, cover, thanos126]",2008-03-31 19:58:48,240,260,260,20,10,0,0,10,20,80,100,90,40,60,50,120,140,130,0,20,20,90,110,100,10,20,30,20,40,30,rock
9,Three Days Grace - Just Like You.3gp,ThreeDaysGraceVEVO,"Three Days Grace's official music video for 'Just Like You'. Click to listen to Three Days Grace on Spotify: http://smarturl.it/ThreeDaysGraceSpot?IQid=TDGJLU

As featured on The Collection: Three Days Grace. Click to buy the track or album via iTunes:http://smarturl.it/ThrDayGrClctiTunes?IQid=TDGJLU
Google Play: http://smarturl.it/ThrDayGrJLUplay?IQid=TDGJLU
Amazon: http://smarturl.it/ThrDayGrClctAmz?IQid=TDGJLU

More from Three Days Grace
Animal I Have Become: https://youtu.be/xqds0B_meys
I Hate Everything About You: https://youtu.be/d8ekz_CSBVg
Never Too Late: https://youtu.be/lL2ZwXj1tXM

Follow Three Days Grace
Website: http://threedaysgrace.com/
Facebook: https://www.facebook.com/threedaysgrace
Twitter: https://twitter.com/threedaysgrace
Instagram: https://instagram.com/threedaysgraceofficial/
Tumblr: http://threedaysgraceofficial.tumblr.com/

Subscribe to Three Days Grace on YouTube: http://smarturl.it/ThreeDaysGraceSub?IQid=TDGJLU

More great 00s videos here: http://smarturl.it/Alternative00?IQid=TDGJLU

---------

Lyrics:

I could be mean
I could be angry
You know I could be just like you

I could be fake
I could be stupid
You know I could be just like you

You thought you were standing beside me
You were onlyin my way
You're wrong if you think that I'll be just like you

You thought you were there to guide me
You were only in my way
You're wrong if you think that I'll be just like you
You thought you were there to guide me
You were only in my way
You're wrong if you think that I'll be just like you",35662702,4.93739509583,123018,1956,00:03:14,194,"[riff, three days grace live, hq, official, three days grace just like you, cover, rock, karaoke, download, music, just like you live, playlist, nightcore, audio, lyrics, just like you lyrics, live, music video, never too late, vevo, Sony, dirty, just like you official, palace, Rock, three days grace, album, acoustic, metal, clean, official video, Jive, guitar, single, the collection, Three Days Grace, ThreeDaysGraceVevo, Just Like You, animal]",2009-10-03 04:50:22,0,20,20,0,20,10,0,30,30,0,30,20,0,40,40,0,60,60,0,40,30,0,20,20,0,50,50,0,60,50,rock
