,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
0,Melanie Martinez - Mrs. Potato Head [Official Video].mp4,melanie martinez,"Directed and Conceived by: Melanie Martinez
Cinematography by: Josh McKie
Executive Producer: Wes Teshome
Executive Producers, Framed: Alan White, Zachary Green
Produced by: Jennifer Goodridge
1st AD: Jesse Hays & Nick Erickson
Set design by: Holly Trotta
Audio Design by Michael Keenan
Wardrobe by: Melanie Martinez
Additional wardrobe by: Lisa Madonna
Makeup by: Melanie Martinez
Special FX & Prosthetic Makeup: Mo Meinhart
Additional Makeup by: Elsie Simone Patterson
Hair by: William Scott Blair
Hair Assistant: Heather Weepler
Production Manager: Tyler Zelinsky
Production Coordinator: Camille Benton
Location Manager: Yorgos Varagoulis
Casting by: Copelan Cash
Edited by: Tony Corella and Melanie Martinez
Colorist: Bryant Jansen

Cast:
Wife: Nora Hall
Rich Husband: Justin Berti
Mistress: Brittany Williams
Bunny Doctor: Dan Fleming
Wig Spokesperson: Lauren Anderson
Diet Pills Spokesperson: Elizabeth Ferrara

Get 'Cry Baby' Now!
iTunes: http://smarturl.it/MelanieCryBaby
Google Play: http://smarturl.it/GP_MelanieCryBaby 
Amazon: http://smarturl.it/A_MelanieCryBaby
Spotify: http://smarturl.it/S_MelanieCryBaby

Get Official Melanie Martinez Merch Here: http://smarturl.it/Visit_MMstore 

Instagram: http://www.instagram.com/littlebodybi...
Twitter: http://www.twitter.com/MelanieLBBH 
Facebook: https://www.facebook.com/melaniemartinezmusic/",8323479,4.96734857559,620775,5109,00:05:32,332,"[Melanie Martinez, Mrs. Potato Head, Cry Baby, atlantic records, warner music group, official video, cry baby perfume milk]",2016-12-01 22:48:42
1,"Machine Gun Kelly, Camila Cabello - Bad Things.mp4",MGKVEVO,"MGK x Camilla Cabello 'Bad Things' out now!
iTunes: http://smarturl.it/BadThings
Apple: http://smarturl.it/BadThings.ap
Spotify: http://smarturl.it/BadThings.sp
Amazon: http://smarturl.it/BadThings.amz
Google Play: http://smarturl.it/BadThings.gp

Music video by Machine Gun Kelly, Camila Cabello performing Bad Things. (C) 2016 Bad Boy/Interscope Records

http://vevo.ly/scSfvQ",7209663,4.89845991135,316207,8236,00:04:39,279,"[Machine, Gun, Kelly, Camila, Cabello, Bad, Things, Boy, Interscope, Hip, Hop]",2016-12-01 11:00:02
2,DJ Snake - Let Me Love You ft. Justin Bieber.mp4,DJSnakeVEVO,"Listen to DJ Snake’s album Encore, out now on Spotify: http://smarturl.it/EncoreDJSnake.sp 

Sign up for updates from DJ Snake: http://smarturl.it/DJSnake.News

Music video by DJ Snake performing Let Me Love You. (C) 2016 DJ Snake Music under exclusive license to Interscope Records

http://vevo.ly/pZdK6r",21493685,4.90425777435,636068,15598,00:03:25,205,"[DJ, Snake, Let, Me, Love, You, Music, Dance, Justin Bieber, Encore]",2016-11-29 18:00:02
3,Beyoncé - All Night.mp4,beyonceVEVO,"LEMONADE the Visual Album Available Now!
iTunes: http://smarturl.it/LEMONADEitunes
Amazon.com: http://smarturl.it/LEMONADEcd
TIDAL: https://lemonade.tidal.com

http://vevo.ly/oMBYA2",9873696,4.87493991852,327384,10566,00:06:22,382,"[Pop, Parkwood Entertainment/Columbia, Beyoncé, All Night]",2016-11-30 15:00:02
4,Tove Lo - True Disaster (Part of Fairy Dust).mp4,ToveLoVEVO,"“Lady Wood” Out Now: https://lnk.to/LadyWoodYD 
Watch ""Fairy Dust"": https://www.youtube.com/watch?v=abZ0PXadpB0
 
Director: Tim Erem
Producer: Nathan Scherrer
Production Company: Diktator
Executive Producers: Ian Blair, Tim Erem and Tove Lo

http://vevo.ly/vXLUbI",1647562,4.92724323273,45719,847,00:03:40,220,"[Tove, Lo, True, Disaster, Polydor, Alternative]",2016-11-29 14:00:22
5,Shakira - Chantaje (Official video) ft. Maluma.mp4,shakiraVEVO,"Shakira feat. Maluma - ""Chantaje"" (Official Music Video)
""Chantaje"" is available on these digital platforms:
iTunes: http://smarturl.it/Chantaje
Spotify: http://smarturl.it/ChantajeSp
Google Play: http://smarturl.it/ChantajeGP
Amazon: http://smarturl.it/ChantajeAm

Follow Shakira!
Official site: http://www.shakira.com
Facebook: http://www.facebook.com/shakira
Twitter: http://www.twitter.com/shakira
Instagram: http://www.instagram.com/shakira

Follow Maluma!
Official site: http://www.malumamusik.com
Facebook: http://www.facebook.com/MALUMAMUSIK
Twitter: http://www.twitter.com/maluma
Instagram: http://www.instagram.com/malumaoficial
YouTube: http://www.youtube.com/user/MalumaVEVO
Official music video by Shakira feat. Maluma performing ""Chantaje."" (C) 2016 Sony Music Entertainment US Latin LLC",92987515,4.8138217926,862983,42128,00:03:19,199,"[Sony Music Latin, Shakira feat. Maluma Chantaje, Shakira feat. Maluma Nuevo Video, Shakira feat. Maluma Video Oficial, Chantaje Single, Shakira feat. Maluma New Video, Shakira feat. Maluma Single, Chantaje Official Video, Shakira feat. Maluma New Single, Shakira feat. Maluma Music, Shakira feat. Maluma, Latin Pop, Shakira feat. Maluma Official Video, Chantaje, Shakira feat. Maluma Video]",2016-11-18 14:00:01
6,Britney Spears - Slumber Party ft. Tinashe.mp4,BritneySpearsVEVO,"""Glory"", the ninth studio album from Britney Spears, is OUT NOW! Stream on Spotify: http://smarturl.it/StreamBSG?IQid=yt 
iTunes: http://smarturl.it/Glory?IQid=yt Google Play: http://smarturl.it/BSGGP?IQid=yt Amazon: http://smarturl.it/BSGAM?IQid=yt 

Stream ""Slumber Party"" ft. Tinashe on Spotify: http://smarturl.it/StreamBSSP?IQid=yt
Buy the deluxe album at Target: http://smarturl.it/GloryTarget?IQid=yt 
Exclusive vinyl: http://smarturl.it/BritneyWebStore?IQid=yt

Stay in the know - sign up to Britney's mailing list: http://smarturl.it/BritneyMailingList?IQid=yt

Connect with Britney -
Facebook: http://www.facebook.com/britneyspears
Twitter: http://twitter.com/britneyspears
Instagram: http://www.instagram.com/britneyspears/
Google+: https://plus.google.com/+britneyspears
Tumblr: http://britneyspears.tumblr.com/
Website: http://www.britney.com

Follow Tinashe -
Facebook: https://www.facebook.com/OfficialTinashe
Twitter: http://twitter.com/Tinashe
Instagram: https://www.instagram.com/tinashenow/
Website: http://www.tinashenow.com/

http://vevo.ly/ypGYnF",34410587,4.58057403564,388418,45499,00:04:05,245,"[Pop, Slumber Party feat. Tinashe, Britney Spears feat. Tinashe, RCA Records Label]",2016-11-18 08:00:05
7,Melanie Martinez - Pacify Her (Official Video).mp4,melanie martinez,"Directed and conceived by: Melanie Martinez
Cinematography by: Josh McKie
Executive Producer: Wes Teshome 
Producer: Jennifer Goodridge
1st AD: Jesse Hays
Set design by Holly Trotta
Wardrobe by Melanie Martinez
Additional wardrobe by Lisa Madonna
Makeup by Melanie Martinez
Additional makeup & Airbrush Makeup by Elsie Simone Patterson
Hair by William Scott Blair
Production Manager: Tyler Zelinsky
Edited by: Tony Corella and Melanie Martinez
Colorist: Bryant Jansen
VFX: Giannenio Salucci, Ethan Chancer, Bryson Michael
Production Company: Framed - Alan White, Zachary Green
Blue Boy: Lucas Mogerley

Get 'Cry Baby' Now!
iTunes: http://smarturl.it/MelanieCryBaby
Google Play: http://smarturl.it/GP_MelanieCryBaby 
Amazon: http://smarturl.it/A_MelanieCryBaby
Spotify: http://smarturl.it/S_MelanieCryBaby

Get Official Melanie Martinez Merch Here: http://smarturl.it/Visit_MMstore 

Instagram: http://www.instagram.com/littlebodybi...
Twitter: http://www.twitter.com/MelanieLBBH 
Facebook: https://www.facebook.com/melaniemartinezmusic/",19225613,4.93531036377,729092,11985,00:03:46,226, ,2016-11-15 23:47:25
8,"Cashmere Cat - Trust Nobody ft. Selena Gomez, Tory Lanez.mp4",CashmereCatVEVO,"Get Cashmere Cat’s ‘Trust Nobody’ ft. Selena Gomez and Tory Lanez, out now: 
Spotify: http://smarturl.it/TrustNobody.sp
iTunes: http://smarturl.it/TrustNobody
Apple: http://smarturl.it/TrustNobody.ap

Production Co: Park Pictures
Director: Jake Schreier
Executive Producers: Jackie Kelman Bisbee, Alex Fisch 
DP: Adam Newport-Berra
Choreography/Performance: Jasmin WilliamsProduction Co: Park Pictures
Dancers: Talia Koylass, Raphael Thomas, Dominique McDougal, Wally Pham

Music video by Cashmere Cat performing Trust Nobody. (C) 2016 Mad Love/Interscope Records

http://vevo.ly/03crID",7100141,4.92767953873,187259,3448,00:03:41,221,"[Cashmere, Cat, Trust, Nobody, Mad, Love/Interscope, Records, Electronic]",2016-11-16 14:00:00
9,John Legend - Love Me Now.mp4,johnlegendVEVO,"John Legend's official  video for ""Love Me Now""

Pre-order his new album 'DARKNESS AND LIGHT' today!  http://smarturl.it/DALalbum

Follow John Legend:
Website: http://www.johnlegend.com/
Facebook: https://www.facebook.com/johnlegend
Twitter: https://twitter.com/johnlegend
Instagram: https://www.instagram.com/johnlegend/ 
Snapchat: https://www.snapchat.com/add/johnlegend",29406338,4.9343419075,476918,7959,00:04:15,255,"[Columbia, Love Me Now, John Legend, R&B]",2016-11-11 15:00:01
