,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
0,False Prophets - J. Cole.mp4,Dreamville,"Music Video for ""False Prophets"" by J. Cole

Directed by Scott Lazer

dreamville.lnk.to/falseprophets

'4 Your Eyez Only' by J. Cole available everywhere 12/9

Dreamville.com",480419,4.94499731064,29837,416,00:04:08,248,"[j. cole, 4 your eyez only, false prophets, dreamville, coleworld, eyez]",2016-12-06 01:10:18
1,Everybody Dies - J. Cole.mp4,Dreamville,"Music Video for ""Everybody Dies"" by J. Cole

Directed by Scott Lazer

http://dreamville.lnk.to/everybody

'4 Your Eyez Only' by J. Cole available everywhere 12/9

Dreamville.com",213477,4.96290302277,20190,189,00:02:45,165,"[j. cole, 4 your eyez only, everybody dies, eyez, dreamville, coleworld]",2016-12-06 01:09:57
2,DJ Mustard - Main Bitch ft. RJ.mp4,DJMustardVEVO,"Music video by DJ Mustard performing Main Bitch. (C) 2016 Roc Nation, LLC.

http://vevo.ly/PsFVoE",47943,4.81818199158,1953,93,00:03:11,191,"[DJ, Mustard, Main, Bitch, Roc, Nation, Artists, Hip, Hop]",2016-12-05 08:00:01
3,Soulja Boy - Pesos.mp4,Soulja Boy,"Soulja Boy - Pesos
Real Soulja 4 Life out now!
iTunes: http://www.smarturl.it/realsoulja4life
http://www.sodmg.com",87733,4.64949941635,3738,359,00:03:11,191,"[soulja boy, sodmg, swag, soulja, trap, crank, pop, music, videos, pesos, soulja boy tell 'em, real soulja 4 life]",2016-12-04 11:28:41
4,Young M.A - _EAT_ (Official Video).mp4,Young MA,"Young M.A's new music video for her freestyle ""EAT."" Directed by a piece by guy x Young M.A. 
Produced by @yosoydjmostwanted

Purchase official Young M.A gear at: https://shopyoungma.com.

IG: http://instagram.com/hennynhoes
Spotify: http://sptfy.com/youngma 
Twitter: http://twitter.com/youngmamusic
Facebook: http://facebook.com/youngmamusic
Website: http://youngmamusic.com",2925591,4.90976047516,115075,2656,00:06:38,398,"[youngm.a, young m.a, redlyfe, red lyfe, brooklyn, eat, freestyle, official music video]",2016-12-02 17:00:33
5,"Rick Ross - Buy Back the Block ft. 2 Chainz, Gucci Mane.mp4",RickRossVEVO,"""Buy Back the Block"" Available at:
iTunes: http://smarturl.it/BuyBackTheBlock
Amazon: http://smarturl.it/BuyBackTheBlock_Dig
Spotify: http://smarturl.it/BuyBackTheBlock_Spfy
Google Play: http://smarturl.it/BuyBackTheBlock_GP

Facebook: @RickRoss https://www.facebook.com/rickross/
Twitter: @rickrozay  https://twitter.com/rickyrozay
Instagram: @Richforever https://www.instagram.com/richforever/
Snapchat: @FerrariFatBoy 


(C) 2016 Epic Records, a division of Sony Music Entertainment

http://vevo.ly/Kk4Pde",2432242,4.80926895142,41981,2102,00:08:00,480,"[Rap, Freaky Ho, Epic, Buy Back the Block, Gucci Mane, 2 Chainz, Rick Ross feat. 2 Chainz & Gucci Mane, Epic Records, Rick Ross, Hip Hop]",2016-12-02 17:00:01
6,Gucci Mane - St. Brick Intro [Official Music Video].mp4,OfficialGucciMane,"Gucci Mane - St. Brick Intro
Download/Stream St. Brick Intro - https://atlanti.cr/stbrick
East Atlanta Santa Merch Shop now open, shop here: http://smarturl.it/Gucci.ShopYT

Follow Gucci Mane
http://GucciManeOnline.com
http://Twitter.com/Gucci1017
http://Facebook.com/GucciMane
http://Instagram.com/LaFlare1017
https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo",1085262,4.8806476593,27377,842,00:04:38,278,"[Gucci Mane, St Brick, Music Video, Return of East Atlanta Santa]",2016-12-02 15:25:11
7,"Machine Gun Kelly, Camila Cabello - Bad Things.mp4",MGKVEVO,"MGK x Camilla Cabello 'Bad Things' out now!
iTunes: http://smarturl.it/BadThings
Apple: http://smarturl.it/BadThings.ap
Spotify: http://smarturl.it/BadThings.sp
Amazon: http://smarturl.it/BadThings.amz
Google Play: http://smarturl.it/BadThings.gp

Music video by Machine Gun Kelly, Camila Cabello performing Bad Things. (C) 2016 Bad Boy/Interscope Records

http://vevo.ly/scSfvQ",7209663,4.89845323563,316225,8237,00:04:39,279,"[Machine, Gun, Kelly, Camila, Cabello, Bad, Things, Boy, Interscope, Hip, Hop]",2016-12-01 11:00:02
8,Lil Durk - Rich Forever Feat YFN Lucci (Official Music Video).mp4,Lil Durk,"Watch the official music video for ""Rich Forever"" by Lil Durk ft YFN Lucci. 

Subscribe to Lil Durk's official channel for exclusive music videos and behind the scenes looks: http://bit.ly/Subscribe-to-Durk

More Lil Durk:
https://fb.com/lildurk
https://twitter.com/lildurk_
https://instagram.com/Imlildurk2x
http://officiallildurk.com",91258,4.90050649643,2117,54,00:03:11,191,"[lil durk rich forever, rich forever lil durk, rich forever, lil durk, lil durk yfn lucci, yfn lucci, lil durk 2016, lil durk music, lil durk music video, yfn lucci music, yfn lucci 2016, chicago, chiraq, drill, OTF, only the family, they forgot, lil durk 2x, lil durk2x, new hip hop songs, rap, hip hop]",2016-11-30 21:14:42
9,"DJ Mustard - Know My Name ft. Rich The Kid, RJ.mp4",DJMustardVEVO,"Music video by DJ Mustard performing Know My Name. (C) 2016 Roc Nation, LLC.

http://vevo.ly/TkGp5E",409224,4.89271736145,10704,295,00:03:27,207,"[DJ, Mustard, Know, My, Name, Roc, Nation, Artists, Hip, Hop]",2016-11-30 18:00:00
